"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","AA/AO","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","EO","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","SEO","10","10","47530","49860"
"In post","2023","Active Travel England","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","G6","10","10","66360","66300"
"In post","2023","Active Travel England","G6/G7","G7","15","15","52030","51290"
"In post","2023","Active Travel England","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","SEO","15","15","40080","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","AO","45","40","21920","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","EO","295","275","25900","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G6","10","10","70880","71480"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G7","45","40","57820","57400"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","445","405","33990","32340"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","165","155","43880","43070"
"In post","2023","Animal and Plant Health Agency","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","AA/AO","AO","940","885","22970","22150"
"In post","2023","Animal and Plant Health Agency","EO","EO","830","795","27260","25920"
"In post","2023","Animal and Plant Health Agency","G6/G7","G6","70","65","63160","62090"
"In post","2023","Animal and Plant Health Agency","G6/G7","G7","205","200","52230","51360"
"In post","2023","Animal and Plant Health Agency","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","HEO","515","500","31870","30840"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","SEO","505","475","39670","38200"
"In post","2023","Animal and Plant Health Agency","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","G6","10","10","71410","71360"
"In post","2023","Attorney General's Office","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","SCS level","5","5","[c]","[c]"
