"Status","Year","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Heterosexual / straight","29690","28015","35220","31310"
"In post","2023","Asian","LGBO","740","705","36360","32520"
"In post","2023","Asian","Undeclared","1840","1680","33430","29890"
"In post","2023","Asian","Unknown","3085","2775","34000","29080"
"In post","2023","Black","Heterosexual / straight","14855","14305","35060","32520"
"In post","2023","Black","LGBO","360","350","36060","32520"
"In post","2023","Black","Undeclared","775","730","34280","31970"
"In post","2023","Black","Unknown","1300","1200","34860","32520"
"In post","2023","Mixed","Heterosexual / straight","7515","7165","37500","32980"
"In post","2023","Mixed","LGBO","920","895","36860","32520"
"In post","2023","Mixed","Undeclared","685","640","36520","32460"
"In post","2023","Mixed","Unknown","605","565","37140","30930"
"In post","2023","Other ethnicity","Heterosexual / straight","2015","1930","37900","33830"
"In post","2023","Other ethnicity","LGBO","220","210","40730","35000"
"In post","2023","Other ethnicity","Undeclared","360","345","43650","38660"
"In post","2023","Other ethnicity","Unknown","230","205","39060","32520"
"In post","2023","Undeclared","Heterosexual / straight","3010","2830","35070","31280"
"In post","2023","Undeclared","LGBO","300","285","35390","32390"
"In post","2023","Undeclared","Undeclared","12565","11815","37700","34170"
"In post","2023","Undeclared","Unknown","3385","3055","37550","32520"
"In post","2023","Unknown","Heterosexual / straight","3460","3225","36080","32060"
"In post","2023","Unknown","LGBO","245","235","38650","34060"
"In post","2023","Unknown","Undeclared","2280","2160","41990","38120"
"In post","2023","Unknown","Unknown","71005","67660","33830","29050"
"In post","2023","White","Heterosexual / straight","288650","270265","36840","32310"
"In post","2023","White","LGBO","20990","20420","36520","32210"
"In post","2023","White","Undeclared","22965","21040","35390","31070"
"In post","2023","White","Unknown","25735","22955","34790","29560"
"Leaver CS","2023","Asian","Heterosexual / straight","2060","[c]","33720","29660"
"Leaver CS","2023","Asian","LGBO","75","[c]","33210","29780"
"Leaver CS","2023","Asian","Undeclared","125","[c]","32700","28370"
"Leaver CS","2023","Asian","Unknown","505","[c]","34480","28480"
"Leaver CS","2023","Black","Heterosexual / straight","1510","[c]","33690","31060"
"Leaver CS","2023","Black","LGBO","45","[c]","37440","32520"
"Leaver CS","2023","Black","Undeclared","80","[c]","32240","31060"
"Leaver CS","2023","Black","Unknown","225","[c]","34560","30950"
"Leaver CS","2023","Mixed","Heterosexual / straight","725","[c]","34480","30290"
"Leaver CS","2023","Mixed","LGBO","115","[c]","35210","30210"
"Leaver CS","2023","Mixed","Undeclared","60","[c]","37160","32520"
"Leaver CS","2023","Mixed","Unknown","105","[c]","37050","28650"
"Leaver CS","2023","Other ethnicity","Heterosexual / straight","190","[c]","35890","29440"
"Leaver CS","2023","Other ethnicity","LGBO","35","[c]","34190","30360"
"Leaver CS","2023","Other ethnicity","Undeclared","50","[c]","44400","38890"
"Leaver CS","2023","Other ethnicity","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Heterosexual / straight","245","[c]","32780","28120"
"Leaver CS","2023","Undeclared","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Undeclared","915","[c]","36430","32170"
"Leaver CS","2023","Undeclared","Unknown","415","[c]","34580","28490"
"Leaver CS","2023","Unknown","Heterosexual / straight","375","[c]","33940","28120"
"Leaver CS","2023","Unknown","LGBO","35","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","360","[c]","36780","33670"
"Leaver CS","2023","Unknown","Unknown","8985","[c]","33440","27680"
"Leaver CS","2023","White","Heterosexual / straight","20620","[c]","35050","28120"
"Leaver CS","2023","White","LGBO","1880","[c]","34870","29290"
"Leaver CS","2023","White","Undeclared","1770","[c]","33540","28120"
"Leaver CS","2023","White","Unknown","4520","[c]","35070","28120"
"Leaver Dept.","2023","Asian","Heterosexual / straight","1115","[c]","35740","32520"
"Leaver Dept.","2023","Asian","LGBO","40","[c]","38890","33830"
"Leaver Dept.","2023","Asian","Undeclared","50","[c]","36640","33630"
"Leaver Dept.","2023","Asian","Unknown","175","[c]","34630","30990"
"Leaver Dept.","2023","Black","Heterosexual / straight","520","[c]","34200","32520"
"Leaver Dept.","2023","Black","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Unknown","60","[c]","[c]","[c]"
