"Status","Year","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Heterosexual / straight","110","110","45830","43650"
"In post","2023","Analysis","Digital, Data and Technology","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Unknown","40","40","47110","43650"
"In post","2023","Analysis","Economics","Heterosexual / straight","1225","1200","49190","46600"
"In post","2023","Analysis","Economics","LGBO","130","130","45750","39430"
"In post","2023","Analysis","Economics","Undeclared","135","130","49250","51460"
"In post","2023","Analysis","Economics","Unknown","315","310","46830","40270"
"In post","2023","Analysis","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Heterosexual / straight","85","80","42130","41150"
"In post","2023","Analysis","Intelligence Analysis","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Heterosexual / straight","40","40","45430","38560"
"In post","2023","Analysis","Knowledge and Information Management","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Heterosexual / straight","490","465","35350","32550"
"In post","2023","Analysis","Operational Delivery","LGBO","40","40","33240","31560"
"In post","2023","Analysis","Operational Delivery","Undeclared","40","40","36870","34060"
"In post","2023","Analysis","Operational Delivery","Unknown","190","185","33420","31060"
"In post","2023","Analysis","Operational Research","Heterosexual / straight","550","525","46830","45560"
"In post","2023","Analysis","Operational Research","LGBO","50","50","41120","39410"
"In post","2023","Analysis","Operational Research","Undeclared","60","60","47000","45690"
"In post","2023","Analysis","Operational Research","Unknown","135","130","42710","40720"
"In post","2023","Analysis","Other","Heterosexual / straight","405","390","53760","44100"
"In post","2023","Analysis","Other","LGBO","30","30","41620","31270"
"In post","2023","Analysis","Other","Undeclared","60","55","53810","43700"
"In post","2023","Analysis","Other","Unknown","95","90","41620","37060"
"In post","2023","Analysis","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","Heterosexual / straight","185","180","49600","45510"
"In post","2023","Analysis","Policy","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Policy","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Policy","Unknown","35","35","44550","43490"
"In post","2023","Analysis","Project Delivery","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Heterosexual / straight","755","725","43670","39890"
"In post","2023","Analysis","Science and Engineering","LGBO","65","60","35740","34290"
"In post","2023","Analysis","Science and Engineering","Undeclared","40","40","39140","37300"
"In post","2023","Analysis","Science and Engineering","Unknown","480","465","40410","38030"
"In post","2023","Analysis","Social Research","Heterosexual / straight","1015","970","45510","42210"
"In post","2023","Analysis","Social Research","LGBO","135","135","42190","39300"
"In post","2023","Analysis","Social Research","Undeclared","90","85","44130","39980"
"In post","2023","Analysis","Social Research","Unknown","185","180","43410","39450"
"In post","2023","Analysis","Statistics","Heterosexual / straight","1885","1810","46150","42510"
"In post","2023","Analysis","Statistics","LGBO","220","220","43400","39620"
"In post","2023","Analysis","Statistics","Undeclared","185","175","44580","41200"
"In post","2023","Analysis","Statistics","Unknown","435","425","40760","38470"
"In post","2023","Analysis","Tax","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Heterosexual / straight","105","105","48410","42340"
"In post","2023","Analysis","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","40","40","47410","45930"
"In post","2023","Commercial","Commercial","Heterosexual / straight","4405","4275","48430","42580"
"In post","2023","Commercial","Commercial","LGBO","230","225","45410","39890"
"In post","2023","Commercial","Commercial","Undeclared","475","455","45780","42620"
"In post","2023","Commercial","Commercial","Unknown","1155","1130","47930","41470"
"In post","2023","Commercial","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Commercial","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Heterosexual / straight","40","35","50330","56430"
"In post","2023","Commercial","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Heterosexual / straight","295","285","47430","43270"
"In post","2023","Commercial","Operational Delivery","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Undeclared","40","35","51540","45130"
"In post","2023","Commercial","Operational Delivery","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Other","Heterosexual / straight","145","135","41420","39650"
"In post","2023","Commercial","Other","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Other","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Other","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Policy","Heterosexual / straight","45","40","51550","51580"
"In post","2023","Commercial","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","Policy","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Heterosexual / straight","65","60","40120","34990"
"In post","2023","Commercial","Project Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Property","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Heterosexual / straight","100","100","53800","50830"
"In post","2023","Commercial","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","45","45","62000","56000"
"In post","2023","Commercial","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","Heterosexual / straight","2430","2340","43960","40880"
"In post","2023","Communications","Communications","LGBO","215","215","43380","41550"
"In post","2023","Communications","Communications","Undeclared","265","255","41820","38720"
"In post","2023","Communications","Communications","Unknown","735","720","44380","41240"
"In post","2023","Communications","Digital, Data and Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2023","Communications","Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Communications","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Communications","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","Heterosexual / straight","50","50","42710","41560"
"In post","2023","Communications","Knowledge and Information Management","LGBO","5","5","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","Undeclared","10","10","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","Operational Delivery","Heterosexual / straight","60","60","47860","39640"
"In post","2023","Communications","Operational Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","Operational Delivery","Undeclared","10","10","[c]","[c]"
"In post","2023","Communications","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","Communications","Other","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Communications","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Other","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","Other","Unknown","5","5","[c]","[c]"
"In post","2023","Communications","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Communications","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
