"Status","Year","Parent_department","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","Female","Heterosexual / straight","2225","2075","49530","52020"
"In post","2023","Attorney General's Departments","London","Female","LGBO","120","110","50240","52020"
"In post","2023","Attorney General's Departments","London","Female","Undeclared","170","160","51890","54230"
"In post","2023","Attorney General's Departments","London","Female","Unknown","600","535","54160","55710"
"In post","2023","Attorney General's Departments","London","Male","Heterosexual / straight","1150","1130","50820","52020"
"In post","2023","Attorney General's Departments","London","Male","LGBO","150","150","52560","52400"
"In post","2023","Attorney General's Departments","London","Male","Undeclared","115","115","52910","54100"
"In post","2023","Attorney General's Departments","London","Male","Unknown","295","285","56110","61950"
"In post","2023","Attorney General's Departments","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","Female","Heterosexual / straight","3040","2800","39350","33300"
"In post","2023","Attorney General's Departments","Outside London","Female","LGBO","155","150","34130","28200"
"In post","2023","Attorney General's Departments","Outside London","Female","Undeclared","125","115","37340","31180"
"In post","2023","Attorney General's Departments","Outside London","Female","Unknown","680","575","42980","40690"
"In post","2023","Attorney General's Departments","Outside London","Male","Heterosexual / straight","1370","1340","44350","49050"
"In post","2023","Attorney General's Departments","Outside London","Male","LGBO","115","110","41500","32660"
"In post","2023","Attorney General's Departments","Outside London","Male","Undeclared","65","65","42270","40940"
"In post","2023","Attorney General's Departments","Outside London","Male","Unknown","355","340","48460","54800"
"In post","2023","Attorney General's Departments","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","Female","Heterosexual / straight","1680","1635","52900","56030"
"In post","2023","Cabinet Office","London","Female","LGBO","160","160","49210","43560"
"In post","2023","Cabinet Office","London","Female","Undeclared","185","180","50950","56000"
"In post","2023","Cabinet Office","London","Female","Unknown","935","925","42200","30130"
"In post","2023","Cabinet Office","London","Male","Heterosexual / straight","1470","1455","59000","56430"
"In post","2023","Cabinet Office","London","Male","LGBO","205","205","51130","56000"
"In post","2023","Cabinet Office","London","Male","Undeclared","180","180","57260","56430"
"In post","2023","Cabinet Office","London","Male","Unknown","765","760","47300","35650"
"In post","2023","Cabinet Office","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Outside London","Female","Heterosexual / straight","1680","1600","43460","38460"
"In post","2023","Cabinet Office","Outside London","Female","LGBO","125","125","37990","33020"
"In post","2023","Cabinet Office","Outside London","Female","Undeclared","100","95","43840","39260"
"In post","2023","Cabinet Office","Outside London","Female","Unknown","500","485","40770","32400"
