"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","15","15","41390","41480"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","10","10","38280","38540"
"In post","2023","Analysis","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cumbria","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","SEO/HEO","10","10","35120","37300"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","G6/G7","25","25","56700","55250"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","70","70","37020","36380"
"In post","2023","Analysis","Devon","EO","10","10","26270","25920"
"In post","2023","Analysis","Devon","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Devon","SEO/HEO","20","20","36080","34510"
"In post","2023","Analysis","Dorset and Somerset","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","EO","40","40","25940","25970"
