"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","AA/AO","Female","40","35","23250","22360"
"In post","2023","Declared disabled","Commercial","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Female","50","50","28330","28120"
"In post","2023","Declared disabled","Commercial","EO","Male","35","35","27890","27140"
"In post","2023","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Female","120","120","62620","58230"
"In post","2023","Declared disabled","Commercial","G6/G7","Male","120","115","65600","66140"
"In post","2023","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Female","265","255","38420","38470"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Male","170","165","39350","38470"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","Female","55","50","59360","57970"
"In post","2023","Declared disabled","Communications","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO/HEO","Female","115","110","38870","38700"
"In post","2023","Declared disabled","Communications","SEO/HEO","Male","65","65","39580","40230"
"In post","2023","Declared disabled","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Female","190","155","23200","21690"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Male","110","100","22750","21690"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","EO","Female","485","430","28980","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Male","265","245","28990","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Female","190","175","36600","34170"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Male","135","130","36920","34990"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","Male","35","35","22480","22090"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Female","160","145","28540","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Male","250","240","28560","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","Female","265","255","57590","55980"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","Male","365","365","60150","59030"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","Female","465","445","37650","37680"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","Male","640","625","38390","37880"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","Male","40","35","62110","59370"
"In post","2023","Declared disabled","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO/HEO","Female","35","30","37520","36230"
"In post","2023","Declared disabled","Economics","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","Female","85","75","22950","22460"
"In post","2023","Declared disabled","Finance","AA/AO","Male","40","35","22900","22400"
"In post","2023","Declared disabled","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Female","115","110","28320","28090"
"In post","2023","Declared disabled","Finance","EO","Male","55","55","28390","28120"
"In post","2023","Declared disabled","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6/G7","Female","110","105","59380","58110"
"In post","2023","Declared disabled","Finance","G6/G7","Male","90","85","59790","58180"
"In post","2023","Declared disabled","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO/HEO","Female","230","215","38430","37680"
"In post","2023","Declared disabled","Finance","SEO/HEO","Male","200","190","38560","37710"
"In post","2023","Declared disabled","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO/HEO","Female","[c]","[c]","[c]","[c]"
