"Status","Year","Disability","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Heterosexual / straight","620","590","45910","40620"
"In post","2023","Declared disabled","Commercial","LGBO","65","60","41980","37300"
"In post","2023","Declared disabled","Commercial","Undeclared","80","80","44090","42500"
"In post","2023","Declared disabled","Commercial","Unknown","110","105","48270","40950"
"In post","2023","Declared disabled","Communications","Heterosexual / straight","235","225","42090","39730"
"In post","2023","Declared disabled","Communications","LGBO","45","45","40160","39300"
"In post","2023","Declared disabled","Communications","Undeclared","30","30","40800","35990"
"In post","2023","Declared disabled","Communications","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Heterosexual / straight","1030","925","30440","28120"
"In post","2023","Declared disabled","Counter Fraud","LGBO","125","120","30320","28120"
"In post","2023","Declared disabled","Counter Fraud","Undeclared","155","140","28920","28120"
"In post","2023","Declared disabled","Counter Fraud","Unknown","105","90","31180","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","Heterosexual / straight","1615","1555","42650","38790"
"In post","2023","Declared disabled","Digital, Data and Technology","LGBO","260","255","43280","39080"
"In post","2023","Declared disabled","Digital, Data and Technology","Undeclared","245","235","42890","39590"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","135","130","39850","34700"
"In post","2023","Declared disabled","Economics","Heterosexual / straight","90","85","50840","53820"
"In post","2023","Declared disabled","Economics","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Economics","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Heterosexual / straight","785","740","41360","37650"
"In post","2023","Declared disabled","Finance","LGBO","60","60","39410","34450"
"In post","2023","Declared disabled","Finance","Undeclared","80","75","37080","34170"
"In post","2023","Declared disabled","Finance","Unknown","35","35","38850","34250"
"In post","2023","Declared disabled","Geography","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Heterosexual / straight","1395","1325","40500","37060"
"In post","2023","Declared disabled","Human Resources","LGBO","170","170","40940","37440"
"In post","2023","Declared disabled","Human Resources","Undeclared","130","125","37820","34300"
"In post","2023","Declared disabled","Human Resources","Unknown","45","45","41030","37060"
"In post","2023","Declared disabled","Inspector of Education and Training","Heterosexual / straight","75","70","64710","66170"
"In post","2023","Declared disabled","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
