"Status","Year","Disability","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Female","150","130","27890","28100"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Male","110","100","28290","28120"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Female","90","80","30720","29620"
"In post","2023","Declared disabled","Asian","East of England","Male","55","50","32880","28480"
"In post","2023","Declared disabled","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Female","965","880","37800","32520"
"In post","2023","Declared disabled","Asian","London","Male","590","570","38630","34390"
"In post","2023","Declared disabled","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Female","35","30","26800","28120"
"In post","2023","Declared disabled","Asian","North East (England)","Male","30","30","30070","28120"
"In post","2023","Declared disabled","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Female","180","155","29060","28120"
"In post","2023","Declared disabled","Asian","North West (England)","Male","185","175","30020","28120"
"In post","2023","Declared disabled","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Female","30","30","31800","28120"
"In post","2023","Declared disabled","Asian","Scotland","Male","30","30","33120","27930"
"In post","2023","Declared disabled","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Female","90","80","30970","29360"
"In post","2023","Declared disabled","Asian","South East (England)","Male","50","45","37960","31310"
"In post","2023","Declared disabled","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Female","40","35","33240","28120"
"In post","2023","Declared disabled","Asian","South West (England)","Male","40","40","37650","34000"
"In post","2023","Declared disabled","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Female","355","315","29340","28120"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Male","245","235","29990","28120"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Female","150","130","28300","28120"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Male","150","145","31680","28120"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","Female","70","65","28420","28120"
"In post","2023","Declared disabled","Black","East Midlands (England)","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","Female","70","60","31120","31280"
"In post","2023","Declared disabled","Black","East of England","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","London","Female","1090","1020","35910","32520"
"In post","2023","Declared disabled","Black","London","Male","340","335","37320","33050"
"In post","2023","Declared disabled","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","Female","55","50","31750","28120"
"In post","2023","Declared disabled","Black","North West (England)","Male","40","40","32920","28960"
"In post","2023","Declared disabled","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","Male","10","10","[c]","[c]"
