"Status","Year","Disability","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Female","2110","1885","33270","30200"
"In post","2023","Declared disabled","Asian","Male","1515","1445","34210","30950"
"In post","2023","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Female","1645","1530","34080","32520"
"In post","2023","Declared disabled","Black","Male","590","575","34950","32520"
"In post","2023","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Female","1020","945","34570","31140"
"In post","2023","Declared disabled","Mixed","Male","600","575","36610","32520"
"In post","2023","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Female","215","200","36840","34170"
"In post","2023","Declared disabled","Other ethnicity","Male","195","185","37850","33050"
"In post","2023","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Female","1055","940","32080","28480"
"In post","2023","Declared disabled","Undeclared","Male","1260","1195","36160","32530"
"In post","2023","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Female","785","710","32950","28880"
"In post","2023","Declared disabled","Unknown","Male","640","595","36840","34370"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Female","30080","26925","32930","28120"
"In post","2023","Declared disabled","White","Male","19080","18165","35190","31180"
"In post","2023","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Female","14705","13345","34300","30480"
"In post","2023","Declared non-disabled","Asian","Male","11905","11595","35430","31640"
"In post","2023","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Female","7875","7470","34530","32520"
"In post","2023","Declared non-disabled","Black","Male","4955","4870","35370","32520"
"In post","2023","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Female","3875","3630","36610","32520"
"In post","2023","Declared non-disabled","Mixed","Male","2725","2670","38920","34400"
"In post","2023","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Female","1020","950","37160","32520"
"In post","2023","Declared non-disabled","Other ethnicity","Male","845","825","39430","34480"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Female","3560","3140","33580","29050"
"In post","2023","Declared non-disabled","Undeclared","Male","4265","4070","37430","32920"
"In post","2023","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Female","3825","3345","33400","28120"
"In post","2023","Declared non-disabled","Unknown","Male","3265","3135","37040","32890"
"In post","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","White","Female","144890","131520","35460","30610"
