"Status","Year","Disability","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Female","Heterosexual / straight","60","55","33910","28610"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Female","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Male","Heterosexual / straight","45","45","36700","32810"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Female","Heterosexual / straight","170","155","27840","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Female","LGBO","35","35","29050","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Male","Heterosexual / straight","75","70","27810","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Male","LGBO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Female","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Female","Heterosexual / straight","65","60","33090","32520"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Male","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barnet","Female","Heterosexual / straight","65","60","35610","32520"
