"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6/G7","Male","15","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","Female","40","30","21960","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Female","175","155","25990","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Male","120","120","25780","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","Female","30","30","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","350","320","36030","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","255","240","37500","35190"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","Female","615","560","22900","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","Male","335","330","23100","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Female","490","465","27190","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Male","340","330","27350","26030"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","Female","140","135","54280","54330"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","Male","135","130","55700","54840"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","595","560","35460","34960"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","425","415","36090","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","Female","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","Male","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6/G7","Female","55","55","56000","53500"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6/G7","Male","55","55","56290","53430"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","35","35","34950","35040"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","45","45","35500","35620"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","Female","230","205","22440","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","Male","190","185","22760","21780"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","Female","450","420","27230","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","Male","310","305","26900","27110"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","Female","1160","1120","58900","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","Male","1110","1095","59410","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Female","215","205","91900","81830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Male","245","240","98780","91750"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","Female","1110","1075","37520","36680"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","Male","905","895","37560","36510"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","SEO/HEO","Female","995","995","30680","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","SEO/HEO","Male","665","665","30760","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Female","85","75","25960","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Male","65","60","26030","25940"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","Female","50","50","51890","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","Male","80","80","53240","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
