"Status","Year","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","London","15055","14280","40050","35410"
"In post","2023","Asian","Outside London","20060","18660","31170","28120"
"In post","2023","Asian","Overseas","170","170","51850","53970"
"In post","2023","Asian","Unknown","70","65","33840","28120"
"In post","2023","Black","London","10310","9930","37220","32960"
"In post","2023","Black","Outside London","6880","6555","31630","28120"
"In post","2023","Black","Overseas","70","70","48280","50400"
"In post","2023","Black","Unknown","30","30","33330","28120"
"In post","2023","Mixed","London","3610","3490","43570","39150"
"In post","2023","Mixed","Outside London","5960","5625","33310","28920"
"In post","2023","Mixed","Overseas","130","130","49790","46640"
"In post","2023","Mixed","Unknown","20","20","[c]","[c]"
"In post","2023","Other ethnicity","London","1400","1345","43600","38660"
"In post","2023","Other ethnicity","Outside London","1375","1300","33840","30220"
"In post","2023","Other ethnicity","Overseas","45","45","49720","49960"
"In post","2023","Other ethnicity","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","London","4430","4220","45190","39790"
"In post","2023","Undeclared","Outside London","14620","13545","34680","31270"
"In post","2023","Undeclared","Overseas","170","170","51870","52570"
"In post","2023","Undeclared","Unknown","45","45","32380","28490"
"In post","2023","Unknown","London","16135","15715","43650","39110"
"In post","2023","Unknown","Outside London","58325","55060","31130","28080"
"In post","2023","Unknown","Overseas","625","625","54790","54740"
"In post","2023","Unknown","Unknown","1900","1885","41120","38920"
"In post","2023","White","London","52795","50810","49650","45010"
"In post","2023","White","Outside London","302600","280965","34170","30170"
"In post","2023","White","Overseas","2305","2300","53710","53050"
"In post","2023","White","Unknown","640","605","36870","32640"
"Leaver CS","2023","Asian","London","1270","[c]","37480","32520"
"Leaver CS","2023","Asian","Outside London","1475","[c]","29920","27570"
"Leaver CS","2023","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","London","1045","[c]","35460","32320"
"Leaver CS","2023","Black","Outside London","805","[c]","31260","28120"
"Leaver CS","2023","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","London","430","[c]","39560","34020"
"Leaver CS","2023","Mixed","Outside London","565","[c]","30600","27570"
"Leaver CS","2023","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","London","170","[c]","41410","33570"
"Leaver CS","2023","Other ethnicity","Outside London","145","[c]","32130","27570"
"Leaver CS","2023","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","London","360","[c]","43270","40400"
"Leaver CS","2023","Undeclared","Outside London","1225","[c]","32790","28120"
"Leaver CS","2023","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","London","2490","[c]","41440","33790"
"Leaver CS","2023","Unknown","Outside London","6870","[c]","30010","25750"
"Leaver CS","2023","Unknown","Overseas","75","[c]","47930","45810"
"Leaver CS","2023","Unknown","Unknown","315","[c]","36860","32700"
"Leaver CS","2023","White","London","4765","[c]","47490","41910"
"Leaver CS","2023","White","Outside London","23885","[c]","32040","27570"
"Leaver CS","2023","White","Overseas","65","[c]","52570","48690"
"Leaver CS","2023","White","Unknown","75","[c]","33720","28120"
"Leaver Dept.","2023","Asian","London","755","[c]","40440","35200"
"Leaver Dept.","2023","Asian","Outside London","615","[c]","29940","28120"
"Leaver Dept.","2023","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","London","370","[c]","36860","34260"
"Leaver Dept.","2023","Black","Outside London","230","[c]","29720","28120"
"Leaver Dept.","2023","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","London","280","[c]","42200","39150"
"Leaver Dept.","2023","Mixed","Outside London","190","[c]","32630","28120"
"Leaver Dept.","2023","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","London","75","[c]","39670","34550"
"Leaver Dept.","2023","Other ethnicity","Outside London","35","[c]","36210","32540"
"Leaver Dept.","2023","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","180","[c]","42990","39960"
"Leaver Dept.","2023","Undeclared","Outside London","265","[c]","32540","28120"
"Leaver Dept.","2023","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","London","1820","[c]","41190","34810"
"Leaver Dept.","2023","Unknown","Outside London","1435","[c]","31790","28120"
"Leaver Dept.","2023","Unknown","Overseas","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","95","[c]","33780","32000"
"Leaver Dept.","2023","White","London","3045","[c]","47180","41870"
"Leaver Dept.","2023","White","Outside London","5855","[c]","32840","28120"
"Leaver Dept.","2023","White","Overseas","20","[c]","[c]","[c]"
"Leaver Dept.","2023","White","Unknown","35","[c]","33380","28120"
"New entrant CS","2023","Asian","London","1215","[c]","35140","29890"
"New entrant CS","2023","Asian","Outside London","2605","[c]","27780","23640"
"New entrant CS","2023","Asian","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Asian","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","Black","London","710","[c]","34030","29890"
"New entrant CS","2023","Black","Outside London","1105","[c]","28980","25850"
"New entrant CS","2023","Black","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Black","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","Mixed","London","375","[c]","35410","31980"
"New entrant CS","2023","Mixed","Outside London","855","[c]","28290","25310"
"New entrant CS","2023","Mixed","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Other ethnicity","London","145","[c]","34330","29530"
"New entrant CS","2023","Other ethnicity","Outside London","180","[c]","28580","25750"
"New entrant CS","2023","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","London","160","[c]","37600","33800"
"New entrant CS","2023","Undeclared","Outside London","510","[c]","31810","27080"
"New entrant CS","2023","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","London","3680","[c]","34060","29750"
"New entrant CS","2023","Unknown","Outside London","17380","[c]","27370","24430"
"New entrant CS","2023","Unknown","Overseas","50","[c]","49980","45780"
"New entrant CS","2023","Unknown","Unknown","260","[c]","24900","22400"
"New entrant CS","2023","White","London","3460","[c]","38820","34310"
"New entrant CS","2023","White","Outside London","23950","[c]","29690","26350"
"New entrant CS","2023","White","Overseas","20","[c]","[c]","[c]"
"New entrant CS","2023","White","Unknown","75","[c]","31510","28840"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
