"Status","Year","Disability","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education","London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education","Outside London","35","35","42920","43490"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Outside London","35","35","31150","30320"
"In post","2023","Declared disabled","Analysis","Department for International Trade","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","Outside London","60","55","40660","38470"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
