"Status","Year","Age","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Female","10","10","[c]","[c]"
"In post","2023","16-19","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Male","25","25","[c]","[c]"
"In post","2023","16-19","Economics","Female","15","15","[c]","[c]"
"In post","2023","16-19","Economics","Male","15","15","[c]","[c]"
"In post","2023","16-19","Finance","Female","15","10","[c]","[c]"
"In post","2023","16-19","Finance","Male","20","20","[c]","[c]"
"In post","2023","16-19","Human Resources","Female","20","20","[c]","[c]"
"In post","2023","16-19","Human Resources","Male","10","10","[c]","[c]"
"In post","2023","16-19","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Female","500","480","23560","22520"
"In post","2023","16-19","Operational Delivery","Male","400","385","23850","22520"
"In post","2023","16-19","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Female","25","25","[c]","[c]"
"In post","2023","16-19","Other","Male","45","45","19380","19460"
"In post","2023","16-19","Policy","Female","10","10","[c]","[c]"
"In post","2023","16-19","Policy","Male","15","15","[c]","[c]"
"In post","2023","16-19","Project Delivery","Female","10","10","[c]","[c]"
"In post","2023","16-19","Project Delivery","Male","10","10","[c]","[c]"
"In post","2023","16-19","Property","Female","5","5","[c]","[c]"
"In post","2023","16-19","Property","Male","35","35","23550","22750"
"In post","2023","16-19","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Female","20","20","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Male","95","95","19580","18780"
"In post","2023","16-19","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Male","5","5","[c]","[c]"
"In post","2023","16-19","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","50","50","23650","22520"
"In post","2023","16-19","Unknown","Male","45","45","23870","22520"
"In post","2023","16-19","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Female","615","610","35490","32960"
"In post","2023","20-29","Commercial","Male","515","515","35010","32500"
"In post","2023","20-29","Communications","Female","545","540","36300","35410"
"In post","2023","20-29","Communications","Male","275","275","36520","35010"
"In post","2023","20-29","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Female","700","690","29590","28120"
"In post","2023","20-29","Counter Fraud","Male","520","520","29430","28120"
"In post","2023","20-29","Digital, Data and Technology","Female","1280","1270","36740","34700"
"In post","2023","20-29","Digital, Data and Technology","Male","2235","2220","35890","34170"
"In post","2023","20-29","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","Female","445","445","40120","36430"
"In post","2023","20-29","Economics","Male","790","785","40620","37130"
"In post","2023","20-29","Finance","Female","685","675","33160","30770"
"In post","2023","20-29","Finance","Male","745","740","33670","31920"
"In post","2023","20-29","Geography","Female","35","35","27840","27610"
"In post","2023","20-29","Geography","Male","65","65","27410","27610"
"In post","2023","20-29","Human Resources","Female","1095","1080","33230","31060"
"In post","2023","20-29","Human Resources","Male","440","435","31630","29340"
"In post","2023","20-29","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","Female","260","255","32160","30140"
"In post","2023","20-29","Intelligence Analysis","Male","240","240","33860","32540"
"In post","2023","20-29","Internal Audit","Female","30","30","[c]","[c]"
"In post","2023","20-29","Internal Audit","Male","25","25","[c]","[c]"
"In post","2023","20-29","International Trade","Female","320","320","41000","41550"
"In post","2023","20-29","International Trade","Male","285","280","40650","39790"
"In post","2023","20-29","Knowledge and Information Management","Female","170","170","31380","29840"
"In post","2023","20-29","Knowledge and Information Management","Male","125","125","31920","30790"
"In post","2023","20-29","Legal","Female","735","730","38880","35700"
"In post","2023","20-29","Legal","Male","370","370","38610","34930"
"In post","2023","20-29","Medicine","Female","100","95","32680","32930"
"In post","2023","20-29","Medicine","Male","30","30","38520","32930"
"In post","2023","20-29","Operational Delivery","Female","24775","24080","27180","25880"
"In post","2023","20-29","Operational Delivery","Male","16755","16600","27310","26690"
"In post","2023","20-29","Operational Research","Female","170","170","37020","36870"
"In post","2023","20-29","Operational Research","Male","195","195","36180","35070"
"In post","2023","20-29","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other","Female","1070","1045","28780","28100"
"In post","2023","20-29","Other","Male","1045","1040","29580","28120"
"In post","2023","20-29","Planning","Female","15","15","[c]","[c]"
"In post","2023","20-29","Planning","Male","20","20","[c]","[c]"
"In post","2023","20-29","Planning Inspectors","Female","10","10","[c]","[c]"
"In post","2023","20-29","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Policy","Female","4760","4740","40500","38220"
"In post","2023","20-29","Policy","Male","3595","3585","40990","38600"
"In post","2023","20-29","Project Delivery","Female","1480","1470","35810","33990"
"In post","2023","20-29","Project Delivery","Male","1060","1055","35690","34010"
"In post","2023","20-29","Property","Female","375","370","30450","29400"
"In post","2023","20-29","Property","Male","470","465","30940","29400"
"In post","2023","20-29","Psychology","Female","370","365","30170","30940"
"In post","2023","20-29","Psychology","Male","30","30","30070","30150"
"In post","2023","20-29","Science and Engineering","Female","1010","1005","31480","30650"
"In post","2023","20-29","Science and Engineering","Male","1830","1830","31140","30650"
"In post","2023","20-29","Security","Female","325","325","31400","28560"
"In post","2023","20-29","Security","Male","780","780","30150","28280"
"In post","2023","20-29","Social Research","Female","460","455","38440","38340"
"In post","2023","20-29","Social Research","Male","160","160","38570","35760"
"In post","2023","20-29","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Statistics","Female","485","480","37450","35010"
"In post","2023","20-29","Statistics","Male","540","535","36970","34700"
"In post","2023","20-29","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Tax","Female","1430","1395","31210","28130"
"In post","2023","20-29","Tax","Male","1470","1455","31190","28130"
"In post","2023","20-29","Unknown","Female","3920","3870","33610","31180"
"In post","2023","20-29","Unknown","Male","2815","2800","33490","30370"
"In post","2023","20-29","Veterinarian","Female","15","15","[c]","[c]"
"In post","2023","20-29","Veterinarian","Male","5","5","[c]","[c]"
"In post","2023","30-39","Commercial","Female","985","940","42400","39000"
"In post","2023","30-39","Commercial","Male","800","795","46840","42620"
"In post","2023","30-39","Communications","Female","745","710","44950","42140"
"In post","2023","30-39","Communications","Male","455","455","44950","43220"
"In post","2023","30-39","Corporate Finance","Female","15","15","[c]","[c]"
"In post","2023","30-39","Corporate Finance","Male","20","20","[c]","[c]"
