"Status","Year","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Female","Heterosexual / straight","195160","178275","35420","30950"
"In post","2023","Female","LGBO","12225","11785","35060","31310"
"In post","2023","Female","Undeclared","21435","19240","34830","30330"
"In post","2023","Female","Unknown","54885","49700","32950","28130"
"In post","2023","Male","Heterosexual / straight","154020","149455","38140","33990"
"In post","2023","Male","LGBO","11545","11315","38170","33830"
"In post","2023","Male","Undeclared","20035","19165","38150","34190"
"In post","2023","Male","Unknown","50460","48720","35630","31290"
"In post","2023","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Female","Heterosexual / straight","14000","[c]","33140","28120"
"Leaver CS","2023","Female","LGBO","1220","[c]","33260","28590"
"Leaver CS","2023","Female","Undeclared","1725","[c]","32390","28080"
"Leaver CS","2023","Female","Unknown","7550","[c]","32350","27570"
"Leaver CS","2023","Male","Heterosexual / straight","11725","[c]","36850","31260"
"Leaver CS","2023","Male","LGBO","990","[c]","36620","31060"
"Leaver CS","2023","Male","Undeclared","1635","[c]","37080","32670"
"Leaver CS","2023","Male","Unknown","7240","[c]","35380","29290"
"Leaver CS","2023","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Female","Heterosexual / straight","5260","[c]","36750","32520"
"Leaver Dept.","2023","Female","LGBO","465","[c]","35720","32400"
"Leaver Dept.","2023","Female","Undeclared","600","[c]","36440","33630"
"Leaver Dept.","2023","Female","Unknown","2390","[c]","36350","32000"
"Leaver Dept.","2023","Male","Heterosexual / straight","3680","[c]","38710","33830"
"Leaver Dept.","2023","Male","LGBO","480","[c]","38330","34170"
"Leaver Dept.","2023","Male","Undeclared","485","[c]","40520","35830"
"Leaver Dept.","2023","Male","Unknown","2000","[c]","38090","33250"
"Leaver Dept.","2023","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Female","Heterosexual / straight","15485","[c]","29900","26030"
"New entrant CS","2023","Female","LGBO","1980","[c]","28890","26030"
"New entrant CS","2023","Female","Undeclared","1190","[c]","31130","27920"
"New entrant CS","2023","Female","Unknown","12075","[c]","28030","25710"
"New entrant CS","2023","Male","Heterosexual / straight","12885","[c]","31950","28880"
"New entrant CS","2023","Male","LGBO","1345","[c]","30620","27610"
"New entrant CS","2023","Male","Undeclared","990","[c]","33040","28880"
"New entrant CS","2023","Male","Unknown","10810","[c]","29540","26330"
"New entrant CS","2023","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
