"Status","Year","Age","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Building Digital UK","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Building Digital UK","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Building Digital UK","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","Female","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Forestry and Land Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Female","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
