"Status","Year","Disability","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","East Anglia","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Inner London - East","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Inner London - West","145","140","57310","55320"
"In post","2023","Declared disabled","Commercial","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Outer London - South","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Northumberland, and Tyne and Wear","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Greater Manchester","45","45","47670","39750"
"In post","2023","Declared disabled","Commercial","North West (England)","Lancashire","30","30","40770","38470"
"In post","2023","Declared disabled","Commercial","North West (England)","Merseyside","40","35","37720","33210"
"In post","2023","Declared disabled","Commercial","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Eastern Scotland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Southern Scotland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","West Central Scotland","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Hampshire and Isle of Wight","30","30","44210","40240"
"In post","2023","Declared disabled","Commercial","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South West (England)","Devon","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South West (England)","Dorset and Somerset","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","175","165","44990","42620"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wales","East Wales","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wales","West Wales and The Valleys","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Midlands (England)","Shropshire and Staffordshire","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Midlands (England)","West Midlands","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","North Yorkshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","South Yorkshire","40","35","40720","38470"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","West Yorkshire","50","50","40410","35650"
"In post","2023","Declared disabled","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","East of England","East Anglia","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Inner London - East","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Inner London - West","110","105","47080","44360"
"In post","2023","Declared disabled","Communications","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Greater Manchester","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","Hampshire and Isle of Wight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","Devon","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","Dorset and Somerset","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Wales","East Wales","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Wales","West Wales and The Valleys","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Yorkshire and The Humber","South Yorkshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Yorkshire and The Humber","West Yorkshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","50","45","30340","28120"
"In post","2023","Declared disabled","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","East Midlands (England)","Lincolnshire","10","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","East of England","Bedfordshire and Hertfordshire","20","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","East of England","East Anglia","30","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","East of England","Essex","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","Inner London - East","70","65","35440","32520"
"In post","2023","Declared disabled","Counter Fraud","London","Inner London - West","35","30","40050","38680"
"In post","2023","Declared disabled","Counter Fraud","London","Outer London - East and North East","70","60","30970","32520"
"In post","2023","Declared disabled","Counter Fraud","London","Outer London - South","40","40","34740","32540"
"In post","2023","Declared disabled","Counter Fraud","London","Outer London - West and North West","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","North East (England)","Northumberland, and Tyne and Wear","65","60","30340","28120"
"In post","2023","Declared disabled","Counter Fraud","North East (England)","Tees Valley and Durham","60","55","27480","28120"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Greater Manchester","60","55","32750","34050"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Lancashire","35","30","31420","28120"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Merseyside","60","55","29970","28120"
"In post","2023","Declared disabled","Counter Fraud","Northern Ireland","Northern Ireland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Scotland","Eastern Scotland","20","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Scotland","Southern Scotland","40","35","24530","21690"
"In post","2023","Declared disabled","Counter Fraud","Scotland","West Central Scotland","45","40","29750","28120"
"In post","2023","Declared disabled","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","South East (England)","Hampshire and Isle of Wight","45","40","28910","28120"
"In post","2023","Declared disabled","Counter Fraud","South East (England)","Kent","65","60","29840","31280"
"In post","2023","Declared disabled","Counter Fraud","South East (England)","Surrey, East and West Sussex","50","45","30460","28170"
"In post","2023","Declared disabled","Counter Fraud","South West (England)","Cornwall and Isles of Scilly","10","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","South West (England)","Devon","20","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","South West (England)","Dorset and Somerset","35","30","30110","28120"
"In post","2023","Declared disabled","Counter Fraud","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","40","35","27170","28120"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Wales","East Wales","30","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Wales","West Wales and The Valleys","80","70","27410","28120"
"In post","2023","Declared disabled","Counter Fraud","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","15","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","West Midlands (England)","Shropshire and Staffordshire","20","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","West Midlands (England)","West Midlands","75","70","29330","28120"
"In post","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","North Yorkshire","15","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","South Yorkshire","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","West Yorkshire","65","55","32090","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","East Midlands (England)","Derbyshire and Nottinghamshire","40","40","37850","34700"
"In post","2023","Declared disabled","Digital, Data and Technology","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","East of England","East Anglia","35","35","33960","33830"
"In post","2023","Declared disabled","Digital, Data and Technology","East of England","Essex","10","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","London","Inner London - East","140","140","50440","54390"
"In post","2023","Declared disabled","Digital, Data and Technology","London","Inner London - West","285","280","49480","45460"
