"Status","Year","Organisation","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Southern Scotland","Female","75","65","32620","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Southern Scotland","Male","45","45","36120","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","North Yorkshire","Female","15","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","North Yorkshire","Male","15","15","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","West Yorkshire","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Female","65","60","31070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Male","35","35","30220","29180"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Anglia","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Anglia","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","Female","55","50","30970","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","Male","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","Female","80","75","32090","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","Male","65","60","32370","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","Female","100","95","41920","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","Male","75","75","46160","45240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Merseyside","Male","[c]","[c]","[c]","[c]"
