"Status","Year","Age","Disability","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","Female","[c]","[c]","[c]","[c]"
