"Status","Year","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","AA/AO","8945","7935","23710","22520"
"In post","2023","Asian","EO","10400","9695","29350","28130"
"In post","2023","Asian","G6/G7","4345","4235","60320","58370"
"In post","2023","Asian","SCS level","345","335","93620","86460"
"In post","2023","Asian","SEO/HEO","10295","10015","38480","37810"
"In post","2023","Asian","Unknown","1030","960","30070","27640"
"In post","2023","Black","AA/AO","4285","3980","25890","25480"
"In post","2023","Black","EO","5140","4890","30400","30260"
"In post","2023","Black","G6/G7","1645","1620","59710","57860"
"In post","2023","Black","SCS level","110","110","97010","85950"
"In post","2023","Black","SEO/HEO","4775","4705","39070","39110"
"In post","2023","Black","Unknown","1330","1275","32120","29300"
"In post","2023","Mixed","AA/AO","2075","1910","24980","22520"
"In post","2023","Mixed","EO","2250","2120","29350","28120"
"In post","2023","Mixed","G6/G7","1630","1575","60160","58050"
"In post","2023","Mixed","SCS level","160","155","88120","81600"
"In post","2023","Mixed","SEO/HEO","2910","2845","38220","37710"
"In post","2023","Mixed","Unknown","695","660","31120","29050"
"In post","2023","Other ethnicity","AA/AO","550","510","25300","23850"
"In post","2023","Other ethnicity","EO","685","645","29750","29150"
"In post","2023","Other ethnicity","G6/G7","540","525","60300","57710"
"In post","2023","Other ethnicity","SCS level","55","55","93210","86000"
"In post","2023","Other ethnicity","SEO/HEO","865","840","39070","38620"
"In post","2023","Other ethnicity","Unknown","125","115","31260","29050"
"In post","2023","Undeclared","AA/AO","4260","3825","24070","22400"
"In post","2023","Undeclared","EO","5155","4705","29550","28120"
"In post","2023","Undeclared","G6/G7","3105","3005","61310","59290"
"In post","2023","Undeclared","SCS level","190","185","92960","84280"
"In post","2023","Undeclared","SEO/HEO","5930","5675","39130","38470"
"In post","2023","Undeclared","Unknown","625","580","35310","33340"
"In post","2023","Unknown","AA/AO","25665","23905","24330","22520"
"In post","2023","Unknown","EO","18415","17600","29010","28120"
"In post","2023","Unknown","G6/G7","8670","8410","60540","58070"
"In post","2023","Unknown","SCS level","800","775","95160","85800"
"In post","2023","Unknown","SEO/HEO","18180","17665","38470","37680"
"In post","2023","Unknown","Unknown","5250","4925","32960","29050"
"In post","2023","White","AA/AO","90820","81495","24210","22520"
"In post","2023","White","EO","85285","78480","28910","28120"
"In post","2023","White","G6/G7","55280","53230","60690","58510"
"In post","2023","White","SCS level","5720","5525","91910","83530"
"In post","2023","White","SEO/HEO","104570","100325","38490","37760"
"In post","2023","White","Unknown","16660","15620","32260","29050"
"Leaver CS","2023","Asian","AA/AO","940","[c]","22600","21780"
"Leaver CS","2023","Asian","EO","785","[c]","28810","28220"
"Leaver CS","2023","Asian","G6/G7","275","[c]","59580","57000"
"Leaver CS","2023","Asian","SCS level","35","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","660","[c]","38310","37910"
"Leaver CS","2023","Asian","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","475","[c]","23220","23340"
"Leaver CS","2023","Black","EO","615","[c]","29490","29660"
"Leaver CS","2023","Black","G6/G7","140","[c]","58300","56340"
"Leaver CS","2023","Black","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","470","[c]","38280","37920"
"Leaver CS","2023","Black","Unknown","150","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","320","[c]","22320","21780"
"Leaver CS","2023","Mixed","EO","240","[c]","28630","28120"
"Leaver CS","2023","Mixed","G6/G7","125","[c]","57570","55310"
"Leaver CS","2023","Mixed","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SEO/HEO","235","[c]","38290","37590"
"Leaver CS","2023","Mixed","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","100","[c]","22550","22400"
"Leaver CS","2023","Other ethnicity","EO","85","[c]","28550","28100"
"Leaver CS","2023","Other ethnicity","G6/G7","45","[c]","62890","56430"
"Leaver CS","2023","Other ethnicity","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","70","[c]","37380","37550"
"Leaver CS","2023","Other ethnicity","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","495","[c]","22730","21690"
"Leaver CS","2023","Undeclared","EO","380","[c]","29120","28120"
"Leaver CS","2023","Undeclared","G6/G7","225","[c]","59770","57930"
"Leaver CS","2023","Undeclared","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SEO/HEO","410","[c]","39540","39820"
"Leaver CS","2023","Undeclared","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","4325","[c]","22700","22080"
"Leaver CS","2023","Unknown","EO","1760","[c]","28320","27810"
"Leaver CS","2023","Unknown","G6/G7","1000","[c]","61140","59290"
"Leaver CS","2023","Unknown","SCS level","135","[c]","104620","92080"
"Leaver CS","2023","Unknown","SEO/HEO","1780","[c]","37370","36890"
"Leaver CS","2023","Unknown","Unknown","755","[c]","36430","33690"
"Leaver CS","2023","White","AA/AO","10620","[c]","22470","21690"
"Leaver CS","2023","White","EO","6575","[c]","28380","28000"
"Leaver CS","2023","White","G6/G7","3380","[c]","60900","58550"
"Leaver CS","2023","White","SCS level","500","[c]","99040","92800"
"Leaver CS","2023","White","SEO/HEO","6455","[c]","38330","37710"
"Leaver CS","2023","White","Unknown","1260","[c]","40710","35030"
"Leaver Dept.","2023","Asian","AA/AO","230","[c]","22440","21780"
"Leaver Dept.","2023","Asian","EO","445","[c]","28810","28120"
"Leaver Dept.","2023","Asian","G6/G7","185","[c]","58690","56430"
"Leaver Dept.","2023","Asian","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","SEO/HEO","490","[c]","37060","35760"
"Leaver Dept.","2023","Asian","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","AA/AO","100","[c]","23210","22150"
"Leaver Dept.","2023","Black","EO","200","[c]","29420","28660"
"Leaver Dept.","2023","Black","G6/G7","45","[c]","56480","55740"
"Leaver Dept.","2023","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","SEO/HEO","250","[c]","36790","36050"
"Leaver Dept.","2023","Black","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","AA/AO","50","[c]","22420","21690"
"Leaver Dept.","2023","Mixed","EO","120","[c]","28670","28120"
