"Status","Year","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Female","Heterosexual / straight","3245","3050","45300","41050"
"In post","2023","Analysis","Female","LGBO","390","380","41270","39040"
"In post","2023","Analysis","Female","Undeclared","280","265","43660","39300"
"In post","2023","Analysis","Female","Unknown","830","795","39470","37300"
"In post","2023","Analysis","Male","Heterosexual / straight","3670","3600","46870","43000"
"In post","2023","Analysis","Male","LGBO","345","340","43470","39300"
"In post","2023","Analysis","Male","Undeclared","385","375","47540","43650"
"In post","2023","Analysis","Male","Unknown","1170","1150","43230","39300"
"In post","2023","Analysis","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Female","Heterosexual / straight","2800","2670","45340","40750"
"In post","2023","Commercial","Female","LGBO","125","125","43840","38640"
"In post","2023","Commercial","Female","Undeclared","305","285","44400","42620"
"In post","2023","Commercial","Female","Unknown","620","600","45340","40450"
"In post","2023","Commercial","Male","Heterosexual / straight","2375","2345","51490","43400"
"In post","2023","Commercial","Male","LGBO","150","150","45750","41950"
"In post","2023","Commercial","Male","Undeclared","270","265","48280","42700"
"In post","2023","Commercial","Male","Unknown","635","630","50720","43630"
"In post","2023","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Female","Heterosexual / straight","1725","1630","44010","40950"
"In post","2023","Communications","Female","LGBO","115","110","42400","40880"
"In post","2023","Communications","Female","Undeclared","185","175","42010","38980"
"In post","2023","Communications","Female","Unknown","490","475","44180","41410"
"In post","2023","Communications","Male","Heterosexual / straight","1000","990","44880","41200"
"In post","2023","Communications","Male","LGBO","140","140","45650","41970"
"In post","2023","Communications","Male","Undeclared","140","140","44210","41310"
"In post","2023","Communications","Male","Unknown","350","350","44790","40810"
"In post","2023","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Female","Heterosexual / straight","6185","5605","33000","29730"
"In post","2023","Counter Fraud","Female","LGBO","345","330","33340","30130"
"In post","2023","Counter Fraud","Female","Undeclared","730","640","32600","28130"
"In post","2023","Counter Fraud","Female","Unknown","1865","1660","32110","29730"
"In post","2023","Counter Fraud","Male","Heterosexual / straight","5155","4970","35850","34170"
"In post","2023","Counter Fraud","Male","LGBO","350","340","34180","32520"
"In post","2023","Counter Fraud","Male","Undeclared","780","740","36900","34370"
"In post","2023","Counter Fraud","Male","Unknown","1730","1655","34460","32540"
"In post","2023","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
