"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Female","85","85","42370","37680"
"In post","2023","Asian","Analysis","Economics","Male","120","120","45190","39450"
"In post","2023","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","Female","40","35","34340","31660"
"In post","2023","Asian","Analysis","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","Female","35","35","46140","39810"
"In post","2023","Asian","Analysis","Operational Research","Male","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Other","Female","35","35","45650","41480"
"In post","2023","Asian","Analysis","Other","Male","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Planning","Female","[c]","[c]","[c]","[c]"
