"Status","Year","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","25","20","58260","55740"
"In post","2023","Active Travel England","SCS level","5","5","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","20","20","37770","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","45","40","21920","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","295","275","25900","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","55","55","60620","58900"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","605","555","36650","35190"
"In post","2023","Animal and Plant Health Agency","AA/AO","950","890","22970","22150"
"In post","2023","Animal and Plant Health Agency","EO","830","795","27260","25920"
"In post","2023","Animal and Plant Health Agency","G6/G7","275","265","54970","54330"
"In post","2023","Animal and Plant Health Agency","SCS level","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","1020","975","35730","37300"
"In post","2023","Animal and Plant Health Agency","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","20","20","64530","66620"
"In post","2023","Attorney General's Office","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","15","15","37870","38330"
"In post","2023","Building Digital UK","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","25","25","27120","27230"
"In post","2023","Building Digital UK","G6/G7","115","110","56150","53430"
"In post","2023","Building Digital UK","SCS level","10","10","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","80","80","35260","35330"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","420","390","22590","21720"
"In post","2023","Cabinet Office (excl. agencies)","EO","755","725","27090","27430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","2265","2215","59150","56430"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","455","445","95560","84660"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","2015","1970","37540","36680"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","1660","1660","30710","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","20","20","21750","22150"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","150","140","25990","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","135","130","52710","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","350","330","33860","30820"
"In post","2023","Charity Commission","AA/AO","20","20","21520","21100"
"In post","2023","Charity Commission","EO","120","115","25720","25300"
"In post","2023","Charity Commission","G6/G7","80","75","56570","52240"
