"Status","Year","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Female","400","385","43260","39300"
"In post","2023","Asian","Analysis","Male","395","390","43480","39790"
"In post","2023","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Female","210","205","44940","39150"
"In post","2023","Asian","Commercial","Male","210","210","49250","41880"
"In post","2023","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","120","115","40630","38920"
"In post","2023","Asian","Communications","Male","60","60","43260","41220"
"In post","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Female","790","720","32180","32260"
"In post","2023","Asian","Counter Fraud","Male","685","670","33430","32520"
"In post","2023","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Female","640","540","24160","22520"
"In post","2023","Asian","Debt","Male","455","430","23990","22520"
"In post","2023","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Female","780","760","43030","39770"
"In post","2023","Asian","Digital, Data & Technology","Male","1180","1170","44380","41650"
"In post","2023","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Female","580","550","40140","37770"
"In post","2023","Asian","Finance","Male","610","605","41810","38470"
"In post","2023","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","Female","35","30","25700","22150"
"In post","2023","Asian","Grants Management","Male","25","25","[c]","[c]"
"In post","2023","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Female","540","515","38770","35940"
"In post","2023","Asian","Human Resources","Male","245","245","37020","34300"
"In post","2023","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Female","60","55","44920","43160"
"In post","2023","Asian","Internal Audit","Male","45","45","49220","44410"
"In post","2023","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Female","975","900","43940","44150"
"In post","2023","Asian","Legal","Male","440","430","45310","49050"
"In post","2023","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Female","12930","11600","32410","29050"
"In post","2023","Asian","No function","Male","9970","9625","32900","29660"
"In post","2023","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Female","775","745","44570","41190"
"In post","2023","Asian","Project Delivery","Male","675","665","44800","41200"
"In post","2023","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Female","205","195","35410","32590"
"In post","2023","Asian","Property","Male","215","210","38750","34440"
"In post","2023","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Female","140","135","36800","34180"
"In post","2023","Asian","Security","Male","245","245","33410","29890"
"In post","2023","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Female","435","415","37320","32960"
"In post","2023","Asian","Unknown","Male","290","285","40090","37380"
"In post","2023","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Female","150","145","39580","36380"
"In post","2023","Black","Analysis","Male","115","110","39990","38000"
"In post","2023","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Female","130","130","43570","39230"
"In post","2023","Black","Commercial","Male","90","90","49380","42700"
"In post","2023","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Female","75","75","40080","36480"
"In post","2023","Black","Communications","Male","30","30","41880","37470"
"In post","2023","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","Female","455","420","32510","32520"
"In post","2023","Black","Counter Fraud","Male","235","235","32750","32520"
"In post","2023","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","Female","180","165","25840","22520"
"In post","2023","Black","Debt","Male","100","95","25700","22520"
"In post","2023","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Female","395","395","40960","39110"
"In post","2023","Black","Digital, Data & Technology","Male","485","485","42150","39790"
"In post","2023","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Female","280","275","40640","38920"
"In post","2023","Black","Finance","Male","190","190","42440","40270"
"In post","2023","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","Female","15","15","[c]","[c]"
"In post","2023","Black","Grants Management","Male","10","10","[c]","[c]"
"In post","2023","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Female","330","325","40320","36780"
"In post","2023","Black","Human Resources","Male","95","95","36590","33700"
"In post","2023","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Female","10","10","[c]","[c]"
"In post","2023","Black","Internal Audit","Male","15","15","[c]","[c]"
"In post","2023","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Female","505","485","41500","34700"
"In post","2023","Black","Legal","Male","185","185","44610","39790"
"In post","2023","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","Female","7570","7110","32740","30920"
"In post","2023","Black","No function","Male","4310","4210","33540","31680"
"In post","2023","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Female","470","465","44120","41060"
"In post","2023","Black","Project Delivery","Male","255","255","43660","40790"
"In post","2023","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Female","110","105","37580","35410"
"In post","2023","Black","Property","Male","75","75","39440","37110"
"In post","2023","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Female","70","70","37760","35690"
"In post","2023","Black","Security","Male","105","105","33740","27500"
"In post","2023","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Female","145","140","37990","34170"
"In post","2023","Black","Unknown","Male","90","90","39440","36590"
"In post","2023","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","Female","125","120","44820","42160"
"In post","2023","Mixed","Analysis","Male","140","135","43460","39760"
"In post","2023","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","Female","90","85","45690","39140"
"In post","2023","Mixed","Commercial","Male","60","60","49140","41200"
"In post","2023","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","Female","80","75","44520","40540"
"In post","2023","Mixed","Communications","Male","40","40","44870","40150"
"In post","2023","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","Female","165","155","32520","29430"
"In post","2023","Mixed","Counter Fraud","Male","145","145","36200","32540"
"In post","2023","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","Female","85","70","23990","22520"
"In post","2023","Mixed","Debt","Male","25","25","[c]","[c]"
"In post","2023","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","Female","170","165","43600","40740"
"In post","2023","Mixed","Digital, Data & Technology","Male","270","265","43260","41200"
"In post","2023","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","Female","135","125","40590","36620"
"In post","2023","Mixed","Finance","Male","100","100","44220","41160"
"In post","2023","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","Female","20","20","[c]","[c]"
"In post","2023","Mixed","Grants Management","Male","15","15","[c]","[c]"
"In post","2023","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","Female","210","200","40350","36180"
"In post","2023","Mixed","Human Resources","Male","90","90","40010","35070"
"In post","2023","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Female","5","5","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Male","5","5","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Legal","Female","255","235","47360","49050"
"In post","2023","Mixed","Legal","Male","130","125","49490","52060"
"In post","2023","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","No function","Female","3795","3525","34110","30540"
"In post","2023","Mixed","No function","Male","2495","2425","36410","32510"
"In post","2023","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Project Delivery","Female","260","255","43850","40550"
"In post","2023","Mixed","Project Delivery","Male","180","180","46530","42140"
"In post","2023","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Property","Female","65","60","35210","32070"
"In post","2023","Mixed","Property","Male","60","55","36970","36330"
"In post","2023","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Security","Female","50","50","38330","37230"
"In post","2023","Mixed","Security","Male","70","70","37950","35250"
