"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Attorney General's Departments","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
