"Status","Year","Age","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Female","40","35","23110","22520"
"In post","2023","16-19","Asian","Male","55","55","23820","22520"
"In post","2023","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Female","5","5","[c]","[c]"
"In post","2023","16-19","Black","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Female","15","15","[c]","[c]"
"In post","2023","16-19","Mixed","Male","10","10","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Female","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","275","265","23370","22520"
"In post","2023","16-19","Unknown","Male","315","305","22650","22500"
"In post","2023","16-19","White","Female","365","355","23610","22520"
"In post","2023","16-19","White","Male","350","345","23370","22520"
"In post","2023","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Female","3875","3780","30970","28700"
"In post","2023","20-29","Asian","Male","3195","3155","30730","28170"
"In post","2023","20-29","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Female","1560","1535","31980","31280"
"In post","2023","20-29","Black","Male","665","665","31580","30560"
"In post","2023","20-29","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Mixed","Female","1525","1490","31970","30130"
"In post","2023","20-29","Mixed","Male","955","945","33040","31100"
"In post","2023","20-29","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Female","315","310","32730","31710"
"In post","2023","20-29","Other ethnicity","Male","245","245","35330","32970"
"In post","2023","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Female","440","430","32570","30350"
"In post","2023","20-29","Undeclared","Male","760","755","33850","32060"
"In post","2023","20-29","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Female","11485","11225","29930","27890"
"In post","2023","20-29","Unknown","Male","10510","10430","30430","28130"
