"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Tower Hamlets","60","55","48090","43650"
"In post","2023","Analysis","Digital, Data and Technology","London","Westminster","30","30","50890","45040"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Liverpool","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","City of Edinburgh","10","10","43060","39590"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","Bristol, City of","20","20","45280","41710"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Cardiff and Vale of Glamorgan","10","10","43200","38760"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Central Valleys","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Leeds","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Sheffield","15","15","42240","39090"
"In post","2023","Analysis","Economics","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","Camden and City of London","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","London","Croydon","15","15","57870","61260"
"In post","2023","Analysis","Economics","London","Hackney and Newham","30","30","46340","39450"
"In post","2023","Analysis","Economics","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","Tower Hamlets","220","215","59030","55950"
"In post","2023","Analysis","Economics","London","Westminster","1080","1060","49440","53550"
"In post","2023","Analysis","Economics","North East (England)","Darlington","45","45","35050","30510"
"In post","2023","Analysis","Economics","North East (England)","Tyneside","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Greater Manchester South West","55","55","38490","34700"
"In post","2023","Analysis","Economics","North West (England)","Liverpool","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Manchester","35","35","41000","39620"
"In post","2023","Analysis","Economics","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","City of Edinburgh","10","10","47050","34620"
"In post","2023","Analysis","Economics","Scotland","Glasgow City","15","15","52020","51830"
"In post","2023","Analysis","Economics","Scotland","South Lanarkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","South Hampshire","25","25","36760","31560"
"In post","2023","Analysis","Economics","South West (England)","Bristol, City of","10","10","43520","43250"
"In post","2023","Analysis","Economics","South West (England)","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","Monmouthshire and Newport","115","110","37120","31560"
"In post","2023","Analysis","Economics","Wales","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","Birmingham","35","35","50730","38760"
"In post","2023","Analysis","Economics","West Midlands (England)","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Leeds","25","25","41720","36040"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Sheffield","20","20","50360","52060"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Wakefield","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","York","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Croydon","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","Westminster","10","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Hackney and Newham","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Tower Hamlets","30","30","57490","55950"
"In post","2023","Analysis","Intelligence Analysis","London","Westminster","10","10","44450","43210"
"In post","2023","Analysis","Intelligence Analysis","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","North West (England)","Sefton","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South East (England)","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South East (England)","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","Wiltshire","15","15","37590","30650"
"In post","2023","Analysis","Intelligence Analysis","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wales","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wales","Monmouthshire and Newport","30","30","34720","31750"
"In post","2023","Analysis","Intelligence Analysis","Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","West Midlands (England)","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
