"Status","Year","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","110","105","48450","43840"
"In post","2023","Declared disabled","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","75","65","33860","32550"
"In post","2023","Declared disabled","Analysis","Operational Research","100","95","43250","42330"
"In post","2023","Declared disabled","Analysis","Other","60","55","41180","34170"
"In post","2023","Declared disabled","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Policy","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","185","180","42270","39890"
"In post","2023","Declared disabled","Analysis","Social Research","140","135","42660","39940"
"In post","2023","Declared disabled","Analysis","Statistics","280","270","43550","39300"
"In post","2023","Declared disabled","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","665","645","47610","42500"
"In post","2023","Declared disabled","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Human Resources","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
