"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","205","205","44000","39040"
"In post","2023","Asian","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","55","55","34820","32540"
"In post","2023","Asian","Analysis","Operational Research","60","60","46270","43620"
"In post","2023","Asian","Analysis","Other","60","60","45310","39000"
"In post","2023","Asian","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","30","30","42520","39150"
"In post","2023","Asian","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Social Research","65","60","43770","40080"
"In post","2023","Asian","Analysis","Statistics","230","225","43260","41030"
"In post","2023","Asian","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","30","30","[c]","[c]"
"In post","2023","Asian","Commercial","Commercial","315","310","48160","41950"
"In post","2023","Asian","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Human Resources","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Operational Delivery","55","55","45860","36440"
"In post","2023","Asian","Commercial","Other","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Project Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Communications","150","145","40430","38770"
"In post","2023","Asian","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Counter Fraud","840","785","30720","28130"
"In post","2023","Asian","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Intelligence Analysis","15","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Legal","115","110","35200","32580"
"In post","2023","Asian","Counter Fraud","Operational Delivery","250","235","32210","32260"
"In post","2023","Asian","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Other","35","30","40510","35000"
"In post","2023","Asian","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Tax","170","160","38020","35000"
"In post","2023","Asian","Counter Fraud","Unknown","45","45","36660","32580"
"In post","2023","Asian","Debt","Operational Delivery","605","545","24670","22520"
"In post","2023","Asian","Debt","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Other","405","350","23150","21690"
"In post","2023","Asian","Debt","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Tax","70","65","23660","22520"
"In post","2023","Asian","Debt","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Digital, Data and Technology","1650","1625","44320","41480"
"In post","2023","Asian","Digital, Data & Technology","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Finance","5","5","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Human Resources","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
