"Status","Year","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Outside London","120","115","40990","38120"
"In post","2023","Analysis","East of England","Outside London","395","380","37560","37300"
"In post","2023","Analysis","London","London","4420","4300","50180","45560"
"In post","2023","Analysis","North East (England)","Outside London","355","345","39990","37890"
"In post","2023","Analysis","North West (England)","Outside London","650","635","41480","38490"
"In post","2023","Analysis","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Outside London","175","170","43440","37250"
"In post","2023","Analysis","South East (England)","Outside London","1180","1125","42370","39890"
"In post","2023","Analysis","South West (England)","Outside London","1010","965","41160","39890"
"In post","2023","Analysis","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Wales","Outside London","1165","1120","39180","37760"
"In post","2023","Analysis","West Midlands (England)","Outside London","190","185","41040","37680"
"In post","2023","Analysis","Yorkshire and The Humber","Outside London","650","615","43690","41470"
"In post","2023","Commercial","East Midlands (England)","Outside London","140","135","43770","40500"
"In post","2023","Commercial","East of England","Outside London","250","235","45990","40750"
"In post","2023","Commercial","London","London","1810","1785","58430","56000"
"In post","2023","Commercial","North East (England)","Outside London","140","135","45880","40820"
"In post","2023","Commercial","North West (England)","Outside London","775","760","46540","40620"
"In post","2023","Commercial","Northern Ireland","Outside London","15","15","34740","33230"
"In post","2023","Commercial","Overseas","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Scotland","Outside London","390","380","42450","37730"
"In post","2023","Commercial","South East (England)","Outside London","565","550","42930","39720"
"In post","2023","Commercial","South West (England)","Outside London","1845","1770","43570","42500"
"In post","2023","Commercial","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","Outside London","405","380","37190","32950"
"In post","2023","Commercial","West Midlands (England)","Outside London","375","365","46230","38810"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","530","515","48910","41880"
"In post","2023","Communications","East Midlands (England)","Outside London","120","120","40180","37900"
"In post","2023","Communications","East of England","Outside London","70","70","37060","34300"
"In post","2023","Communications","London","London","2200","2155","49260","44600"
"In post","2023","Communications","North East (England)","Outside London","140","130","36980","35000"
"In post","2023","Communications","North West (England)","Outside London","280","265","39090","36400"
"In post","2023","Communications","Northern Ireland","Outside London","25","25","40210","38640"
"In post","2023","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Outside London","100","100","40500","39590"
"In post","2023","Communications","South East (England)","Outside London","295","280","36350","33990"
"In post","2023","Communications","South West (England)","Outside London","310","290","37620","35520"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","Outside London","270","255","37890","34490"
"In post","2023","Communications","West Midlands (England)","Outside London","145","140","40080","37640"
"In post","2023","Communications","Yorkshire and The Humber","Outside London","190","180","41830","39770"
"In post","2023","Counter Fraud","East Midlands (England)","Outside London","990","915","34190","34170"
"In post","2023","Counter Fraud","East of England","Outside London","735","675","30540","29730"
"In post","2023","Counter Fraud","London","London","3610","3430","39130","34500"
"In post","2023","Counter Fraud","North East (England)","Outside London","1265","1180","32300","28130"
"In post","2023","Counter Fraud","North West (England)","Outside London","2575","2400","34450","29730"
"In post","2023","Counter Fraud","Northern Ireland","Outside London","450","430","34670","34700"
"In post","2023","Counter Fraud","Scotland","Outside London","1600","1470","31510","28130"
"In post","2023","Counter Fraud","South East (England)","Outside London","1230","1125","31230","29300"
"In post","2023","Counter Fraud","South West (England)","Outside London","845","775","33830","28130"
"In post","2023","Counter Fraud","Unknown","Unknown","20","20","42400","35240"
"In post","2023","Counter Fraud","Wales","Outside London","1070","980","30790","28120"
"In post","2023","Counter Fraud","West Midlands (England)","Outside London","1310","1200","32660","28130"
"In post","2023","Counter Fraud","Yorkshire and The Humber","Outside London","1440","1330","33160","28130"
"In post","2023","Debt","East Midlands (England)","Outside London","655","590","23470","22520"
"In post","2023","Debt","East of England","Outside London","155","130","26680","25610"
"In post","2023","Debt","London","London","635","575","29680","26920"
"In post","2023","Debt","North East (England)","Outside London","1025","920","23530","22520"
"In post","2023","Debt","North West (England)","Outside London","750","685","24680","22520"
"In post","2023","Debt","Northern Ireland","Outside London","10","10","29000","28130"
"In post","2023","Debt","Scotland","Outside London","1495","1365","24340","22520"
"In post","2023","Debt","South East (England)","Outside London","75","60","29810","29730"
"In post","2023","Debt","South West (England)","Outside London","155","130","23580","21690"
"In post","2023","Debt","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Debt","Wales","Outside London","515","480","25380","22520"
"In post","2023","Debt","West Midlands (England)","Outside London","1235","1105","23660","22520"
"In post","2023","Debt","Yorkshire and The Humber","Outside London","1040","915","24560","22520"
"In post","2023","Digital, Data & Technology","East Midlands (England)","Outside London","495","485","38180","34700"
"In post","2023","Digital, Data & Technology","East of England","Outside London","655","630","36830","34700"
