"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","AA/AO","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Commercial","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA/AO","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","AA/AO","AO","Heterosexual / straight","225","210","23590","22500"
"In post","2023","Commercial","AA/AO","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","AA/AO","AO","Undeclared","30","30","23210","22500"
"In post","2023","Commercial","AA/AO","AO","Unknown","105","100","24370","22520"
"In post","2023","Commercial","EO","EO","Heterosexual / straight","515","490","27870","27260"
"In post","2023","Commercial","EO","EO","LGBO","40","40","27640","27470"
"In post","2023","Commercial","EO","EO","Undeclared","60","55","28280","27650"
"In post","2023","Commercial","EO","EO","Unknown","135","130","28270","27630"
"In post","2023","Commercial","G6/G7","G6","Heterosexual / straight","525","515","74570","71800"
"In post","2023","Commercial","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","G6/G7","G6","Undeclared","55","55","72930","71300"
"In post","2023","Commercial","G6/G7","G6","Unknown","115","115","75200","72500"
"In post","2023","Commercial","G6/G7","G7","Heterosexual / straight","1050","1025","59080","56000"
"In post","2023","Commercial","G6/G7","G7","LGBO","65","65","59820","56620"
"In post","2023","Commercial","G6/G7","G7","Undeclared","120","115","57220","56000"
"In post","2023","Commercial","G6/G7","G7","Unknown","325","320","60260","56200"
"In post","2023","Commercial","SCS level","SCS level","Heterosexual / straight","230","225","113370","107430"
"In post","2023","Commercial","SCS level","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","SCS level","SCS level","Unknown","45","45","118750","115300"
"In post","2023","Commercial","SEO/HEO","HEO","Heterosexual / straight","1160","1115","33940","34000"
"In post","2023","Commercial","SEO/HEO","HEO","LGBO","70","65","33900","33990"
"In post","2023","Commercial","SEO/HEO","HEO","Undeclared","110","105","34340","34200"
"In post","2023","Commercial","SEO/HEO","HEO","Unknown","280","275","33020","32960"
"In post","2023","Commercial","SEO/HEO","SEO","Heterosexual / straight","1525","1475","42260","41880"
"In post","2023","Commercial","SEO/HEO","SEO","LGBO","80","80","42390","41590"
"In post","2023","Commercial","SEO/HEO","SEO","Undeclared","170","165","43010","42620"
"In post","2023","Commercial","SEO/HEO","SEO","Unknown","270","265","42020","41410"
"In post","2023","Commercial","Unknown","Unknown","Heterosexual / straight","150","150","43120","42620"
"In post","2023","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Communications","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","AO","Heterosexual / straight","120","115","23280","22500"
"In post","2023","Communications","AA/AO","AO","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","AA/AO","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","AA/AO","AO","Unknown","20","20","[c]","[c]"
"In post","2023","Communications","EO","EO","Heterosexual / straight","355","335","28530","28070"
"In post","2023","Communications","EO","EO","LGBO","30","30","[c]","[c]"
"In post","2023","Communications","EO","EO","Undeclared","55","50","28430","27740"
"In post","2023","Communications","EO","EO","Unknown","75","75","28890","28610"
"In post","2023","Communications","G6/G7","G6","Heterosexual / straight","190","185","69290","68600"
"In post","2023","Communications","G6/G7","G6","LGBO","20","20","[c]","[c]"
"In post","2023","Communications","G6/G7","G6","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","G6/G7","G6","Unknown","55","55","69310","68960"
"In post","2023","Communications","G6/G7","G7","Heterosexual / straight","530","515","56500","56080"
"In post","2023","Communications","G6/G7","G7","LGBO","45","45","56840","56170"
"In post","2023","Communications","G6/G7","G7","Undeclared","55","55","57190","56430"
"In post","2023","Communications","G6/G7","G7","Unknown","150","145","55970","55790"
"In post","2023","Communications","SCS level","SCS level","Heterosexual / straight","75","75","89270","84210"
"In post","2023","Communications","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","SCS level","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","SEO/HEO","HEO","Heterosexual / straight","695","665","35270","34640"
"In post","2023","Communications","SEO/HEO","HEO","LGBO","65","65","34670","34400"
"In post","2023","Communications","SEO/HEO","HEO","Undeclared","70","70","35130","34330"
"In post","2023","Communications","SEO/HEO","HEO","Unknown","255","250","35760","35410"
"In post","2023","Communications","SEO/HEO","SEO","Heterosexual / straight","765","740","42770","42160"
"In post","2023","Communications","SEO/HEO","SEO","LGBO","80","75","43570","43300"
"In post","2023","Communications","SEO/HEO","SEO","Undeclared","80","75","43580","43500"
"In post","2023","Communications","SEO/HEO","SEO","Unknown","220","210","43180","43250"
"In post","2023","Communications","Unknown","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Corporate Finance","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","HEO","Unknown","10","5","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","SEO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","SEO","Unknown","10","10","[c]","[c]"
