"Status","Year","Age","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Attorney General's Departments","Female","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Attorney General's Departments","Male","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
