"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","G6","15","15","74000","74320"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","G7","25","25","56810","56000"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","15","15","33040","32800"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","35","35","42330","41780"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","10","10","44990","43080"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","AO","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","EO","15","15","27420","27470"
"In post","2023","Commercial","East of England","East Anglia","G6","20","20","76870","73970"
"In post","2023","Commercial","East of England","East Anglia","G7","40","40","61460","65220"
"In post","2023","Commercial","East of England","East Anglia","HEO","55","55","33400","33200"
"In post","2023","Commercial","East of England","East Anglia","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","SEO","95","90","41950","40980"
"In post","2023","Commercial","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","EO","10","10","30250","29660"
"In post","2023","Commercial","London","Inner London - East","G6","20","20","76500","72650"
"In post","2023","Commercial","London","Inner London - East","G7","45","40","59210","56430"
"In post","2023","Commercial","London","Inner London - East","HEO","55","55","34130","35410"
"In post","2023","Commercial","London","Inner London - East","SCS level","15","15","111480","107710"
"In post","2023","Commercial","London","Inner London - East","SEO","40","40","46380","43650"
"In post","2023","Commercial","London","Inner London - West","AO","20","20","25690","25480"
"In post","2023","Commercial","London","Inner London - West","EO","65","65","30760","30950"
"In post","2023","Commercial","London","Inner London - West","G6","235","230","75860","72500"
"In post","2023","Commercial","London","Inner London - West","G7","410","400","61260","57940"
"In post","2023","Commercial","London","Inner London - West","HEO","200","200","35320","35480"
"In post","2023","Commercial","London","Inner London - West","SCS level","145","140","122260","118420"
"In post","2023","Commercial","London","Inner London - West","SEO","220","215","44180","43750"
"In post","2023","Commercial","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","AO","10","10","28920","28180"
"In post","2023","Commercial","London","Outer London - South","EO","25","20","31150","31310"
"In post","2023","Commercial","London","Outer London - South","G6","15","15","79270","77500"
"In post","2023","Commercial","London","Outer London - South","G7","25","25","64750","65500"
"In post","2023","Commercial","London","Outer London - South","HEO","25","25","37180","36180"
"In post","2023","Commercial","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","SEO","50","50","46720","46270"
"In post","2023","Commercial","London","Outer London - West and North West","AO","20","20","23800","23460"
"In post","2023","Commercial","London","Outer London - West and North West","EO","10","10","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","G6","10","10","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","G7","5","5","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","HEO","10","10","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","SEO","10","10","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","EO","10","5","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","G6","5","5","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","G7","30","30","59730","56000"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","HEO","30","30","32980","34170"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","SEO","30","30","40590","38470"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","EO","10","10","27210","25900"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","G6","5","5","[c]","[c]"
