"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Female","65","60","44820","41590"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Male","40","40","55240","52150"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","Female","140","130","43610","40620"
"In post","2023","Commercial","East of England","East Anglia","Male","100","95","48230","40620"
"In post","2023","Commercial","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","Female","90","85","48830","44440"
"In post","2023","Commercial","London","Inner London - East","Male","95","95","57060","48030"
"In post","2023","Commercial","London","Inner London - West","Female","630","615","57170","55740"
"In post","2023","Commercial","London","Inner London - West","Male","670","660","65840","58490"
"In post","2023","Commercial","London","Outer London - East and North East","Female","5","5","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","Male","10","10","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","Female","90","85","48110","43210"
"In post","2023","Commercial","London","Outer London - South","Male","60","60","49640","45440"
"In post","2023","Commercial","London","Outer London - West and North West","Female","30","30","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","Male","35","35","41580","37410"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","Female","55","55","42150","37590"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","Male","55","50","46910","40820"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","Female","45","45","43240","39090"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","Male","30","30","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","Female","30","25","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cumbria","Female","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester","Female","200","195","47990","41260"
"In post","2023","Commercial","North West (England)","Greater Manchester","Male","165","165","51030","43830"
"In post","2023","Commercial","North West (England)","Lancashire","Female","125","120","42960","38470"
"In post","2023","Commercial","North West (England)","Lancashire","Male","70","70","44360","38470"
"In post","2023","Commercial","North West (England)","Merseyside","Female","200","190","40540","34530"
"In post","2023","Commercial","North West (England)","Merseyside","Male","115","115","43790","40450"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","Eastern Scotland","Female","45","45","37460","34000"
"In post","2023","Commercial","Scotland","Eastern Scotland","Male","55","55","39900","37060"
"In post","2023","Commercial","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","Female","40","40","51090","47250"
"In post","2023","Commercial","Scotland","Southern Scotland","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Scotland","West Central Scotland","Female","105","105","39010","34170"
"In post","2023","Commercial","Scotland","West Central Scotland","Male","105","105","43150","36920"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","110","105","42000","40090"
