"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North Yorkshire","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
