"Status","Year","Disability","Ethnicity","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Active Travel England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Active Travel England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Active Travel England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Building Digital UK","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Building Digital UK","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Building Digital UK","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office (excl. agencies)","Female","35","35","43410","40200"
"In post","2023","Declared disabled","Asian","Cabinet Office (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Civil Service Fast Stream","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Civil Service Fast Stream","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Prosecution Service","Female","70","60","39200","32660"
"In post","2023","Declared disabled","Asian","Crown Prosecution Service","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Equipment and Support","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Equipment and Support","Male","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Science and Technology Laboratory","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","40","40","48080","41360"
