"Status","Year","Disability","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Female","50","50","44600","37660"
"In post","2023","Declared disabled","Analysis","Economics","Male","60","60","51620","54630"
"In post","2023","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","Female","45","45","33480","32540"
"In post","2023","Declared disabled","Analysis","Operational Delivery","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","Female","45","40","41850","39890"
"In post","2023","Declared disabled","Analysis","Operational Research","Male","55","55","44350","43650"
"In post","2023","Declared disabled","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","Female","30","30","43590","34790"
"In post","2023","Declared disabled","Analysis","Other","Male","30","25","[c]","[c]"
