"Status","Year","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","60","60","21570","20980"
"In post","2023","16-19","Cabinet Office","15","15","25130","24610"
"In post","2023","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","25","25","23320","22310"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","35","35","22800","22150"
"In post","2023","16-19","Department for International Trade","10","10","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","95","85","21830","22500"
"In post","2023","16-19","Department for Work and Pensions","80","75","23050","21690"
"In post","2023","16-19","Department of Health and Social Care","10","10","24210","23990"
"In post","2023","16-19","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","35","35","24080","23800"
"In post","2023","16-19","HM Land Registry","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","195","190","23280","22520"
"In post","2023","16-19","HM Treasury","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","135","130","23960","22400"
"In post","2023","16-19","Ministry of Defence","235","235","20180","19430"
"In post","2023","16-19","Ministry of Justice","345","335","25600","23640"
"In post","2023","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","75","75","23130","22920"
"In post","2023","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","30","30","23120","24840"
"In post","2023","16-19","Welsh Government","10","10","22670","22150"
"In post","2023","20-29","Attorney General's Departments","1725","1710","30910","27760"
"In post","2023","20-29","Cabinet Office","2980","2970","34910","31640"
"In post","2023","20-29","Chancellor's other departments","70","70","37520","33000"
"In post","2023","20-29","Charity Commission","75","75","27910","25300"
"In post","2023","20-29","Competition and Markets Authority","175","175","38520","34110"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","3120","3105","38330","37120"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","665","665","40320","35620"
"In post","2023","20-29","Department for Education","1580","1570","37260","35480"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","2405","2380","31640","30320"
"In post","2023","20-29","Department for International Trade","1155","1150","40930","40530"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","935","925","39500","36870"
"In post","2023","20-29","Department for Transport","2255","2205","32310","29970"
"In post","2023","20-29","Department for Work and Pensions","9010","8825","28180","28120"
"In post","2023","20-29","Department of Health and Social Care","2205","2175","36190","34190"
"In post","2023","20-29","Estyn","10","10","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","160","160","34680","33000"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","1585","1580","37150","36020"
"In post","2023","20-29","HM Land Registry","1035","1010","27870","28080"
"In post","2023","20-29","HM Revenue and Customs","11465","11260","30140","27890"
"In post","2023","20-29","HM Treasury","935","930","38840","33820"
"In post","2023","20-29","Home Office","7785","7680","29340","25880"
"In post","2023","20-29","Ministry of Defence","7885","7840","31310","30650"
"In post","2023","20-29","Ministry of Justice","17695","17375","28770","28880"
"In post","2023","20-29","National Crime Agency","760","755","36330","36040"
"In post","2023","20-29","Northern Ireland Office","40","40","42280","40670"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","175","175","30430","27400"
"In post","2023","20-29","Office of Gas and Electricity Markets","380","380","32180","30950"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","55","55","31350","31310"
"In post","2023","20-29","Office of Rail and Road","35","35","35440","35000"
"In post","2023","20-29","Office of the Secretary of State for Scotland","35","35","37920","35410"
"In post","2023","20-29","Office of the Secretary of State for Wales","15","15","35670","33000"
"In post","2023","20-29","Scottish Government","4615","4545","30720","29100"
"In post","2023","20-29","The National Archives","90","90","29520","26800"
"In post","2023","20-29","UK Export Finance","125","125","40410","37150"
"In post","2023","20-29","UK Statistics Authority","1285","1255","32610","31560"
"In post","2023","20-29","UK Supreme Court","15","15","29890","26420"
"In post","2023","20-29","Water Services Regulation Authority","45","45","35740","35330"
"In post","2023","20-29","Welsh Government","555","545","29730","27890"
"In post","2023","30-39","Attorney General's Departments","2275","2165","45700","50000"
"In post","2023","30-39","Cabinet Office","2625","2575","49480","51290"
"In post","2023","30-39","Chancellor's other departments","120","120","60380","55000"
"In post","2023","30-39","Charity Commission","115","115","35120","30170"
"In post","2023","30-39","Competition and Markets Authority","310","305","61520","59910"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","3860","3730","44370","41360"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport","735","720","51750","53030"
"In post","2023","30-39","Department for Education","2380","2295","45180","42170"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","3010","2885","37600","37300"
"In post","2023","30-39","Department for International Trade","1000","985","51480","55370"
"In post","2023","30-39","Department for Levelling Up, Housing and Communities","1125","1090","48830","49700"
"In post","2023","30-39","Department for Transport","3700","3495","35450","29910"
"In post","2023","30-39","Department for Work and Pensions","14305","13240","30020","28120"
"In post","2023","30-39","Department of Health and Social Care","2690","2580","46120","41950"
"In post","2023","30-39","Estyn","15","15","36230","30610"
"In post","2023","30-39","Food Standards Agency","350","345","38790","38100"
"In post","2023","30-39","Foreign, Commonwealth and Development Office","2330","2300","48820","51500"
"In post","2023","30-39","HM Land Registry","1220","1155","30870","28080"
"In post","2023","30-39","HM Revenue and Customs","17410","16705","35380","34700"
"In post","2023","30-39","HM Treasury","820","805","53800","54130"
"In post","2023","30-39","Home Office","10285","9815","33280","27690"
"In post","2023","30-39","Ministry of Defence","10950","10600","38380","37300"
"In post","2023","30-39","Ministry of Justice","21595","20545","32330","31240"
"In post","2023","30-39","National Crime Agency","1405","1375","40560","38640"
