"Status","Year","Age","Function_of_post","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Human Resources","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Crown Prosecution Service","AO","50","50","20950","20980"
"In post","2023","16-19","Legal","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","HM Revenue and Customs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Animal and Plant Health Agency","AO","10","10","23550","22430"
"In post","2023","16-19","No function","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Crown Office and Procurator Fiscal Service","AO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Defence Electronics and Components Agency","AA","10","10","17040","15780"
"In post","2023","16-19","No function","Defence Equipment and Support","AO","80","80","18940","18780"
"In post","2023","16-19","No function","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","AO","30","30","21810","21690"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Licensing Agency","AA","40","35","19000","19000"
"In post","2023","16-19","No function","Driver and Vehicle Licensing Agency","AO","35","35","22500","22500"
"In post","2023","16-19","No function","Driver and Vehicle Standards Agency","AO","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","AO","25","20","22260","21780"
"In post","2023","16-19","No function","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Prison and Probation Service","AA","110","110","23300","23230"
"In post","2023","16-19","No function","HM Prison and Probation Service","AO","160","160","29100","28880"
"In post","2023","16-19","No function","HM Prison and Probation Service","Unknown","35","30","20180","19090"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","AO","95","95","22750","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Health and Safety Executive","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","AO","105","95","23050","22400"
"In post","2023","16-19","No function","Home Office","EO","25","25","26640","25750"
"In post","2023","16-19","No function","Legal Aid Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Maritime and Coastguard Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","AA","5","5","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","AO","15","15","22670","22220"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of the Public Guardian","AO","10","5","[c]","[c]"
"In post","2023","16-19","No function","Planning Inspectorate","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Courts and Tribunals Service","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Courts and Tribunals Service","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Prison Service","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Prison Service","AO","10","10","[c]","[c]"
"In post","2023","16-19","No function","The Insolvency Service","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","AA","5","5","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","AO","5","5","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Vehicle Certification Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Animal and Plant Health Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Equipment and Support","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Science and Technology Laboratory","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Met Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Submarine Delivery Agency","Unknown","20","20","18750","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","FCDO Services","Unknown","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Met Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Ministry of Defence (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Prison Service","AA","5","5","[c]","[c]"
"In post","2023","16-19","Property","Valuation Office Agency","AO","15","15","22820","22520"
"In post","2023","16-19","Property","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Cabinet Office (excl. agencies)","EO","10","10","25160","24470"
"In post","2023","16-19","Security","FCDO Services","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","AA","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Disclosure Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Education Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Forestry and Land Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Forestry and Land Scotland","AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Met Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Royal Fleet Auxiliary","Unknown","30","30","19370","17400"
"In post","2023","16-19","Unknown","Scottish Government (excl. agencies)","AA","15","15","22760","22760"
"In post","2023","16-19","Unknown","Scottish Public Pensions Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Public Pensions Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Social Security Scotland","AA","15","15","22720","22180"
"In post","2023","16-19","Unknown","Student Awards Agency for Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government (excl. agencies)","AO","10","10","22670","22150"
"In post","2023","20-29","Analysis","Active Travel England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Building Digital UK","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Building Digital UK","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Central Civil Service Fast Stream","HEO","100","100","31030","30130"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AO","15","15","21470","22150"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","35","35","25950","25920"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","HEO","30","30","30440","30350"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Companies House","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Companies House","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","G7","15","15","55550","55130"
"In post","2023","20-29","Analysis","Competition and Markets Authority","HEO","20","20","34590","34110"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","AO","15","15","24070","24010"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","EO","20","20","25950","26310"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","G7","15","15","47790","49260"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","HEO","150","150","29220","30650"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","SEO","100","100","39220","39890"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","30","30","28080","28720"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","85","85","35880","34670"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","25","25","56120","56760"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","35","35","40000","39620"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","EO","20","20","28490","26940"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","G7","30","30","54190","55020"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","HEO","55","50","35150","33950"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","SEO","80","75","44340","43250"
"In post","2023","20-29","Analysis","Department for International Trade","EO","20","20","29320","29280"
"In post","2023","20-29","Analysis","Department for International Trade","G7","45","45","56230","55370"
"In post","2023","20-29","Analysis","Department for International Trade","HEO","55","55","34870","35010"
"In post","2023","20-29","Analysis","Department for International Trade","SEO","15","15","42400","41650"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","35","35","54950","54630"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","45","45","33070","33880"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","15","15","41810","42230"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","EO","20","20","30520","30720"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","G7","55","55","55450","55740"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","HEO","60","60","33590","35400"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","SEO","25","25","42710","43750"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","EO","30","25","28800","28210"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","G7","20","20","56100","58370"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","HEO","110","110","36220","35700"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","SEO","50","45","41150","38470"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","G7","15","15","53480","54660"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","HEO","25","25","33100","34190"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Driver and Vehicle Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Education and Skills Funding Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Education and Skills Funding Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Government Actuary's Department","EO","15","15","30090","30090"
"In post","2023","20-29","Analysis","Government Actuary's Department","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Government Actuary's Department","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Government Actuary's Department","HEO","20","20","35890","36490"
"In post","2023","20-29","Analysis","Government Actuary's Department","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Government Legal Department","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Government Legal Department","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Courts and Tribunals Service","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Courts and Tribunals Service","HEO","5","5","[c]","[c]"
