"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","AO","15","15","23410","23340"
"In post","2023","16-19","Analysis","EO","40","40","26610","25660"
"In post","2023","16-19","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AO","5","5","[c]","[c]"
"In post","2023","16-19","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AO","10","10","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","AO","55","55","22550","22520"
"In post","2023","16-19","Digital, Data & Technology","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","AO","15","15","22320","21690"
"In post","2023","16-19","Digital, Data & Technology","EO","15","15","27830","28120"
"In post","2023","16-19","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Finance","AO","30","30","21630","21160"
"In post","2023","16-19","Finance","EO","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","AO","15","15","22050","22220"
"In post","2023","16-19","Human Resources","EO","5","5","[c]","[c]"
"In post","2023","16-19","Legal","AO","55","55","21130","20980"
"In post","2023","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","AA","185","175","21710","23230"
"In post","2023","16-19","No function","AO","630","610","23860","22500"
"In post","2023","16-19","No function","EO","70","70","27080","26000"
"In post","2023","16-19","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","35","30","20180","19090"
"In post","2023","16-19","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AO","10","10","20620","19750"
"In post","2023","16-19","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","20","20","18750","18280"
"In post","2023","16-19","Property","AA","10","10","[c]","[c]"
"In post","2023","16-19","Property","AO","20","20","22340","22520"
"In post","2023","16-19","Property","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Unknown","15","15","23420","22750"
"In post","2023","16-19","Security","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","10","10","25540","24610"
"In post","2023","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA","50","50","22170","22180"
"In post","2023","16-19","Unknown","AO","35","35","23040","22150"
"In post","2023","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","30","30","19860","17650"
"In post","2023","20-29","Analysis","AA","25","25","22890","23500"
"In post","2023","20-29","Analysis","AO","125","120","22920","22440"
"In post","2023","20-29","Analysis","EO","415","415","27980","28120"
"In post","2023","20-29","Analysis","G6","20","20","66560","67390"
"In post","2023","20-29","Analysis","G7","465","465","56100","55500"
"In post","2023","20-29","Analysis","HEO","1780","1775","33930","34110"
"In post","2023","20-29","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","SEO","865","855","41750","41780"
"In post","2023","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","AO","105","105","23760","22390"
"In post","2023","20-29","Commercial","EO","240","235","27340","27140"
"In post","2023","20-29","Commercial","G6","15","15","71720","71250"
"In post","2023","20-29","Commercial","G7","115","115","59440","56200"
"In post","2023","20-29","Commercial","HEO","450","450","33000","32800"
