"Status","Year","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","AA/AO","Female","1195","1080","23230","22870"
"In post","2023","Attorney General's Departments","AA/AO","Male","460","450","23180","22870"
"In post","2023","Attorney General's Departments","EO","Female","1455","1350","28510","28200"
"In post","2023","Attorney General's Departments","EO","Male","540","535","28720","28200"
"In post","2023","Attorney General's Departments","G6/G7","Female","3250","2940","58970","56450"
"In post","2023","Attorney General's Departments","G6/G7","Male","1875","1815","60760","59200"
"In post","2023","Attorney General's Departments","SCS level","Female","200","190","88740","83810"
"In post","2023","Attorney General's Departments","SCS level","Male","130","125","90350","85060"
"In post","2023","Attorney General's Departments","SEO/HEO","Female","1010","970","37050","37510"
"In post","2023","Attorney General's Departments","SEO/HEO","Male","620","610","37430","38760"
"In post","2023","Cabinet Office","AA/AO","Female","245","220","22430","21720"
"In post","2023","Cabinet Office","AA/AO","Male","195","190","22730","21720"
"In post","2023","Cabinet Office","EO","Female","515","480","27120","27430"
"In post","2023","Cabinet Office","EO","Male","360","355","26840","27100"
"In post","2023","Cabinet Office","G6/G7","Female","1905","1850","60960","57040"
"In post","2023","Cabinet Office","G6/G7","Male","1950","1930","62180","59600"
"In post","2023","Cabinet Office","SCS level","Female","320","305","97970","92070"
"In post","2023","Cabinet Office","SCS level","Male","410","405","107700","98690"
"In post","2023","Cabinet Office","SEO/HEO","Female","2475","2425","34660","33020"
"In post","2023","Cabinet Office","SEO/HEO","Male","1855","1845","35150","34320"
"In post","2023","Chancellor's other departments","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","EO","Female","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","EO","Male","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","G6/G7","Female","80","70","76660","74910"
"In post","2023","Chancellor's other departments","G6/G7","Male","135","130","75910","67430"
"In post","2023","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","SEO/HEO","Female","65","65","43380","44160"
"In post","2023","Chancellor's other departments","SEO/HEO","Male","75","75","41880","41170"
"In post","2023","Charity Commission","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Charity Commission","EO","Female","75","75","25640","25300"
