"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AO","Female","Heterosexual / straight","915","840","23180","22870"
"In post","2023","Attorney General's Departments","AO","Female","LGBO","45","45","22800","22870"
"In post","2023","Attorney General's Departments","AO","Female","Undeclared","45","45","23470","24280"
"In post","2023","Attorney General's Departments","AO","Female","Unknown","185","150","23540","22870"
"In post","2023","Attorney General's Departments","AO","Male","Heterosexual / straight","330","325","23250","22870"
"In post","2023","Attorney General's Departments","AO","Male","LGBO","40","40","22880","22870"
"In post","2023","Attorney General's Departments","AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","AO","Male","Unknown","65","60","23540","22870"
"In post","2023","Attorney General's Departments","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","EO","Female","Heterosexual / straight","1085","1010","28420","28200"
"In post","2023","Attorney General's Departments","EO","Female","LGBO","80","80","28090","27760"
"In post","2023","Attorney General's Departments","EO","Female","Undeclared","55","50","28730","28300"
"In post","2023","Attorney General's Departments","EO","Female","Unknown","235","205","29000","28850"
"In post","2023","Attorney General's Departments","EO","Male","Heterosexual / straight","390","385","28640","28200"
"In post","2023","Attorney General's Departments","EO","Male","LGBO","35","35","28700","28200"
"In post","2023","Attorney General's Departments","EO","Male","Undeclared","30","30","29120","28200"
"In post","2023","Attorney General's Departments","EO","Male","Unknown","85","85","28960","28850"
"In post","2023","Attorney General's Departments","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","G6","Female","Heterosexual / straight","470","425","69200","67600"
"In post","2023","Attorney General's Departments","G6","Female","LGBO","30","25","[c]","[c]"
"In post","2023","Attorney General's Departments","G6","Female","Undeclared","45","40","69620","67730"
"In post","2023","Attorney General's Departments","G6","Female","Unknown","180","155","70190","68620"
"In post","2023","Attorney General's Departments","G6","Male","Heterosexual / straight","285","280","71390","69490"
"In post","2023","Attorney General's Departments","G6","Male","LGBO","35","30","72000","70220"
"In post","2023","Attorney General's Departments","G6","Male","Undeclared","30","25","[c]","[c]"
"In post","2023","Attorney General's Departments","G6","Male","Unknown","125","125","73420","71000"
"In post","2023","Attorney General's Departments","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","G7","Female","Heterosexual / straight","1870","1715","55430","54100"
"In post","2023","Attorney General's Departments","G7","Female","LGBO","65","60","55370","54100"
"In post","2023","Attorney General's Departments","G7","Female","Undeclared","90","85","55950","54850"
"In post","2023","Attorney General's Departments","G7","Female","Unknown","505","430","57960","56450"
"In post","2023","Attorney General's Departments","G7","Male","Heterosexual / straight","985","960","56690","55170"
"In post","2023","Attorney General's Departments","G7","Male","LGBO","85","85","55920","54100"
"In post","2023","Attorney General's Departments","G7","Male","Undeclared","70","65","56660","54180"
"In post","2023","Attorney General's Departments","G7","Male","Unknown","260","245","58570","56450"
"In post","2023","Attorney General's Departments","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","HEO","Female","Heterosexual / straight","430","410","34260","33300"
"In post","2023","Attorney General's Departments","HEO","Female","LGBO","30","30","36590","32660"
"In post","2023","Attorney General's Departments","HEO","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","HEO","Female","Unknown","90","85","34970","34500"
"In post","2023","Attorney General's Departments","HEO","Male","Heterosexual / straight","235","235","34820","33100"
"In post","2023","Attorney General's Departments","HEO","Male","LGBO","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","HEO","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","HEO","Male","Unknown","60","60","34490","34500"
"In post","2023","Attorney General's Departments","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","SCS level","Female","Heterosexual / straight","145","135","88820","84930"
"In post","2023","Attorney General's Departments","SCS level","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","SCS level","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","SCS level","Female","Unknown","45","40","90610","82590"
"In post","2023","Attorney General's Departments","SCS level","Male","Heterosexual / straight","80","80","92430","85680"
"In post","2023","Attorney General's Departments","SCS level","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","SCS level","Male","Unknown","20","20","[c]","[c]"
