"Status","Year","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Heterosexual / straight","110","105","46970","42250"
"In post","2023","Commercial","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","East of England","Heterosexual / straight","180","170","45420","40620"
"In post","2023","Commercial","East of England","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","East of England","Unknown","45","45","47370","41050"
"In post","2023","Commercial","London","Heterosexual / straight","1115","1090","60730","56000"
"In post","2023","Commercial","London","LGBO","75","75","58510","56000"
"In post","2023","Commercial","London","Undeclared","135","130","57090","55770"
"In post","2023","Commercial","London","Unknown","385","380","52900","48460"
"In post","2023","Commercial","North East (England)","Heterosexual / straight","135","135","45460","39090"
"In post","2023","Commercial","North East (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","North West (England)","Heterosexual / straight","665","650","45670","39860"
"In post","2023","Commercial","North West (England)","LGBO","40","40","40170","38470"
"In post","2023","Commercial","North West (England)","Undeclared","50","45","43470","39110"
"In post","2023","Commercial","North West (England)","Unknown","180","175","44930","38470"
"In post","2023","Commercial","Northern Ireland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Heterosexual / straight","245","235","42470","38050"
"In post","2023","Commercial","Scotland","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Unknown","125","120","42380","35330"
"In post","2023","Commercial","South East (England)","Heterosexual / straight","450","435","44090","40750"
"In post","2023","Commercial","South East (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","South East (England)","Undeclared","30","30","45270","42700"
"In post","2023","Commercial","South East (England)","Unknown","60","60","41920","33910"
"In post","2023","Commercial","South West (England)","Heterosexual / straight","1315","1260","43920","42620"
"In post","2023","Commercial","South West (England)","LGBO","55","50","39860","35000"
"In post","2023","Commercial","South West (England)","Undeclared","160","150","42960","42620"
"In post","2023","Commercial","South West (England)","Unknown","225","220","42770","35490"
"In post","2023","Commercial","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Heterosexual / straight","315","295","38140","34170"
"In post","2023","Commercial","Wales","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","Undeclared","55","50","33660","31960"
"In post","2023","Commercial","Wales","Unknown","40","40","38750","38470"
"In post","2023","Commercial","West Midlands (England)","Heterosexual / straight","255","250","47410","39620"
"In post","2023","Commercial","West Midlands (England)","LGBO","20","20","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Unknown","95","90","47150","41590"
"In post","2023","Commercial","Yorkshire and The Humber","Heterosexual / straight","570","545","44560","38470"
"In post","2023","Commercial","Yorkshire and The Humber","LGBO","50","45","41300","37680"
"In post","2023","Commercial","Yorkshire and The Humber","Undeclared","60","55","45330","41590"
"In post","2023","Commercial","Yorkshire and The Humber","Unknown","105","100","49980","50160"
"In post","2023","Communications","East Midlands (England)","Heterosexual / straight","80","75","41370","37710"
"In post","2023","Communications","East Midlands (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","East of England","Heterosexual / straight","50","50","36900","34300"
"In post","2023","Communications","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","East of England","Unknown","10","10","[c]","[c]"
"In post","2023","Communications","London","Heterosexual / straight","1225","1195","49810","46110"
"In post","2023","Communications","London","LGBO","145","145","47370","44520"
"In post","2023","Communications","London","Undeclared","135","135","49150","45250"
"In post","2023","Communications","London","Unknown","490","485","47890","43750"
"In post","2023","Communications","North East (England)","Heterosexual / straight","85","80","38250","35160"
"In post","2023","Communications","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","Communications","North East (England)","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","North West (England)","Heterosexual / straight","185","180","40290","37710"
"In post","2023","Communications","North West (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Communications","North West (England)","Undeclared","15","15","[c]","[c]"
"In post","2023","Communications","North West (England)","Unknown","40","40","39350","37650"
"In post","2023","Communications","Northern Ireland","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Communications","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Unknown","5","5","[c]","[c]"
"In post","2023","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Heterosexual / straight","75","75","40400","39190"
"In post","2023","Communications","Scotland","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","Scotland","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","Scotland","Unknown","10","10","[c]","[c]"
"In post","2023","Communications","South East (England)","Heterosexual / straight","220","210","35890","33990"
"In post","2023","Communications","South East (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","South East (England)","Undeclared","30","25","[c]","[c]"
