"Status","Year","Age","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Male","LGBO","[c]","[c]","[c]","[c]"
