"Status","Year","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Grants Management","Unknown","125","[c]","23510","22150"
"Leaver CS","2023","Human Resources","Heterosexual / straight","1025","[c]","34810","29930"
"Leaver CS","2023","Human Resources","LGBO","90","[c]","40850","34300"
"Leaver CS","2023","Human Resources","Undeclared","110","[c]","35040","32810"
"Leaver CS","2023","Human Resources","Unknown","270","[c]","36020","31220"
"Leaver CS","2023","Internal Audit","Heterosexual / straight","45","[c]","47710","42950"
"Leaver CS","2023","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Heterosexual / straight","605","[c]","45370","45230"
"Leaver CS","2023","Legal","LGBO","50","[c]","46040","51260"
"Leaver CS","2023","Legal","Undeclared","40","[c]","43790","46030"
"Leaver CS","2023","Legal","Unknown","195","[c]","48790","52760"
"Leaver CS","2023","No function","Heterosexual / straight","17660","[c]","31990","27570"
"Leaver CS","2023","No function","LGBO","1510","[c]","32540","28120"
"Leaver CS","2023","No function","Undeclared","2155","[c]","31650","27650"
"Leaver CS","2023","No function","Unknown","9415","[c]","30640","26130"
"Leaver CS","2023","Project Delivery","Heterosexual / straight","800","[c]","44250","40580"
"Leaver CS","2023","Project Delivery","LGBO","60","[c]","39710","35850"
"Leaver CS","2023","Project Delivery","Undeclared","95","[c]","43060","41200"
"Leaver CS","2023","Project Delivery","Unknown","420","[c]","40620","38470"
"Leaver CS","2023","Property","Heterosexual / straight","430","[c]","36660","33960"
"Leaver CS","2023","Property","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Property","Undeclared","55","[c]","37180","33300"
"Leaver CS","2023","Property","Unknown","185","[c]","32660","27080"
"Leaver CS","2023","Security","Heterosexual / straight","605","[c]","32570","27590"
"Leaver CS","2023","Security","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Security","Undeclared","75","[c]","36920","39070"
"Leaver CS","2023","Security","Unknown","220","[c]","30860","27500"
"Leaver CS","2023","Unknown","Heterosexual / straight","1320","[c]","42100","36330"
"Leaver CS","2023","Unknown","LGBO","145","[c]","39040","34730"
"Leaver CS","2023","Unknown","Undeclared","360","[c]","44860","40630"
"Leaver CS","2023","Unknown","Unknown","1080","[c]","37100","32700"
"Leaver Dept.","2023","Analysis","Heterosexual / straight","290","[c]","43310","38440"
"Leaver Dept.","2023","Analysis","LGBO","40","[c]","40790","37760"
"Leaver Dept.","2023","Analysis","Undeclared","35","[c]","37710","36000"
"Leaver Dept.","2023","Analysis","Unknown","195","[c]","36960","33710"
"Leaver Dept.","2023","Commercial","Heterosexual / straight","190","[c]","39040","39090"
"Leaver Dept.","2023","Commercial","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","Unknown","75","[c]","40850","37660"
"Leaver Dept.","2023","Communications","Heterosexual / straight","175","[c]","41030","37870"
"Leaver Dept.","2023","Communications","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","Unknown","95","[c]","39390","35530"
"Leaver Dept.","2023","Counter Fraud","Heterosexual / straight","160","[c]","30960","28120"
"Leaver Dept.","2023","Counter Fraud","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","Unknown","145","[c]","[c]","[c]"
"Leaver Dept.","2023","Debt","Heterosexual / straight","40","[c]","22950","21690"
"Leaver Dept.","2023","Debt","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Debt","Unknown","145","[c]","[c]","[c]"
"Leaver Dept.","2023","Digital, Data & Technology","Heterosexual / straight","425","[c]","42340","38470"
"Leaver Dept.","2023","Digital, Data & Technology","LGBO","45","[c]","43350","40560"
"Leaver Dept.","2023","Digital, Data & Technology","Undeclared","60","[c]","43530","39820"
"Leaver Dept.","2023","Digital, Data & Technology","Unknown","220","[c]","39060","35020"
"Leaver Dept.","2023","Finance","Heterosexual / straight","265","[c]","45620","39150"
"Leaver Dept.","2023","Finance","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","Unknown","150","[c]","37680","33250"
"Leaver Dept.","2023","Grants Management","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","Heterosexual / straight","540","[c]","37920","33300"
"Leaver Dept.","2023","Human Resources","LGBO","65","[c]","33690","31060"
"Leaver Dept.","2023","Human Resources","Undeclared","35","[c]","35970","33020"
"Leaver Dept.","2023","Human Resources","Unknown","120","[c]","37580","32640"
"Leaver Dept.","2023","Internal Audit","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Legal","Heterosexual / straight","165","[c]","42650","32660"
"Leaver Dept.","2023","Legal","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Legal","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Legal","Unknown","85","[c]","49330","51980"
"Leaver Dept.","2023","No function","Heterosexual / straight","5575","[c]","35990","31060"
"Leaver Dept.","2023","No function","LGBO","595","[c]","36360","32520"
"Leaver Dept.","2023","No function","Undeclared","585","[c]","37000","33330"
"Leaver Dept.","2023","No function","Unknown","2285","[c]","37310","32520"
"Leaver Dept.","2023","Project Delivery","Heterosexual / straight","270","[c]","41740","38340"
"Leaver Dept.","2023","Project Delivery","LGBO","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","Undeclared","40","[c]","42910","40000"
"Leaver Dept.","2023","Project Delivery","Unknown","205","[c]","36120","32960"
"Leaver Dept.","2023","Property","Heterosexual / straight","130","[c]","38770","34270"
"Leaver Dept.","2023","Property","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","Unknown","50","[c]","31500","25410"
"Leaver Dept.","2023","Security","Heterosexual / straight","135","[c]","34670","33020"
"Leaver Dept.","2023","Security","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","Unknown","55","[c]","31690","27500"
"Leaver Dept.","2023","Unknown","Heterosexual / straight","535","[c]","41740","37380"
"Leaver Dept.","2023","Unknown","LGBO","65","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","200","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","530","[c]","35520","32000"
"New entrant CS","2023","Analysis","Heterosexual / straight","865","[c]","34640","32800"
"New entrant CS","2023","Analysis","LGBO","140","[c]","32790","31560"
"New entrant CS","2023","Analysis","Undeclared","85","[c]","33260","31560"
"New entrant CS","2023","Analysis","Unknown","390","[c]","31400","30650"
"New entrant CS","2023","Commercial","Heterosexual / straight","400","[c]","36000","33000"
"New entrant CS","2023","Commercial","LGBO","35","[c]","39860","37590"
"New entrant CS","2023","Commercial","Undeclared","35","[c]","33120","30930"
"New entrant CS","2023","Commercial","Unknown","280","[c]","44340","31760"
"New entrant CS","2023","Communications","Heterosexual / straight","335","[c]","38920","35760"
"New entrant CS","2023","Communications","LGBO","40","[c]","39210","37870"
"New entrant CS","2023","Communications","Undeclared","35","[c]","33230","32660"
"New entrant CS","2023","Communications","Unknown","155","[c]","37020","35410"
"New entrant CS","2023","Counter Fraud","Heterosexual / straight","445","[c]","28240","27650"
"New entrant CS","2023","Counter Fraud","LGBO","50","[c]","29050","27890"
"New entrant CS","2023","Counter Fraud","Undeclared","35","[c]","30420","28120"
"New entrant CS","2023","Counter Fraud","Unknown","125","[c]","29980","27890"
"New entrant CS","2023","Debt","Heterosexual / straight","860","[c]","22690","22520"
"New entrant CS","2023","Debt","LGBO","100","[c]","22560","22520"
"New entrant CS","2023","Debt","Undeclared","45","[c]","22330","22520"
"New entrant CS","2023","Debt","Unknown","675","[c]","22910","22520"
"New entrant CS","2023","Digital, Data & Technology","Heterosexual / straight","1860","[c]","39980","37420"
"New entrant CS","2023","Digital, Data & Technology","LGBO","190","[c]","36970","34400"
"New entrant CS","2023","Digital, Data & Technology","Undeclared","195","[c]","38440","37300"
"New entrant CS","2023","Digital, Data & Technology","Unknown","960","[c]","38970","34700"
"New entrant CS","2023","Finance","Heterosexual / straight","500","[c]","35050","31350"
"New entrant CS","2023","Finance","LGBO","45","[c]","32470","28770"
"New entrant CS","2023","Finance","Undeclared","60","[c]","34020","33830"
"New entrant CS","2023","Finance","Unknown","240","[c]","30500","27760"
"New entrant CS","2023","Grants Management","Heterosexual / straight","235","[c]","23020","22150"
"New entrant CS","2023","Grants Management","LGBO","40","[c]","22810","22150"
"New entrant CS","2023","Grants Management","Undeclared","30","[c]","24230","22150"
"New entrant CS","2023","Grants Management","Unknown","105","[c]","22560","22150"
"New entrant CS","2023","Human Resources","Heterosexual / straight","690","[c]","33590","30740"
"New entrant CS","2023","Human Resources","LGBO","75","[c]","33260","28770"
"New entrant CS","2023","Human Resources","Undeclared","55","[c]","34470","30900"
"New entrant CS","2023","Human Resources","Unknown","355","[c]","32230","28000"
"New entrant CS","2023","Internal Audit","Heterosexual / straight","40","[c]","42630","39200"
"New entrant CS","2023","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Heterosexual / straight","1170","[c]","34820","28200"
"New entrant CS","2023","Legal","LGBO","125","[c]","32730","27760"
"New entrant CS","2023","Legal","Undeclared","85","[c]","38820","37680"
"New entrant CS","2023","Legal","Unknown","165","[c]","37310","30160"
"New entrant CS","2023","No function","Heterosexual / straight","17375","[c]","28530","25750"
"New entrant CS","2023","No function","LGBO","2060","[c]","27950","25480"
"New entrant CS","2023","No function","Undeclared","1250","[c]","30070","27230"
"New entrant CS","2023","No function","Unknown","15325","[c]","27090","25480"
"New entrant CS","2023","Project Delivery","Heterosexual / straight","1090","[c]","38920","34400"
"New entrant CS","2023","Project Delivery","LGBO","100","[c]","33850","32200"
"New entrant CS","2023","Project Delivery","Undeclared","85","[c]","36260","33910"
"New entrant CS","2023","Project Delivery","Unknown","520","[c]","34470","28980"
"New entrant CS","2023","Property","Heterosexual / straight","465","[c]","34800","32480"
"New entrant CS","2023","Property","LGBO","40","[c]","31650","26540"
"New entrant CS","2023","Property","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2023","Property","Unknown","380","[c]","29210","24710"
"New entrant CS","2023","Security","Heterosexual / straight","410","[c]","30110","27500"
"New entrant CS","2023","Security","LGBO","35","[c]","25850","24430"
"New entrant CS","2023","Security","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2023","Security","Unknown","505","[c]","29920","27430"
"New entrant CS","2023","Unknown","Heterosexual / straight","1630","[c]","33520","29100"
"New entrant CS","2023","Unknown","LGBO","245","[c]","31640","29100"
"New entrant CS","2023","Unknown","Undeclared","135","[c]","32950","29100"
"New entrant CS","2023","Unknown","Unknown","2695","[c]","30520","28840"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
