"Status","Year","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Female","36910","33130","33040","28180"
"In post","2023","Declared disabled","Male","23880","22735","35270","31280"
"In post","2023","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Female","179750","163405","35280","30740"
"In post","2023","Declared non-disabled","Male","144440","140115","38350","33990"
"In post","2023","Declared non-disabled","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","Female","13150","11960","35430","31280"
"In post","2023","Undeclared","Male","14770","14105","37970","34170"
"In post","2023","Unknown","Female","53895","50505","34710","29890"
"In post","2023","Unknown","Male","52975","51695","36550","32410"
"In post","2023","Unknown","Unknown","10","10","[c]","[c]"
"Leaver CS","2023","Declared disabled","Female","2985","[c]","31030","27570"
"Leaver CS","2023","Declared disabled","Male","2050","[c]","33590","28120"
"Leaver CS","2023","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Female","14320","[c]","33010","28120"
"Leaver CS","2023","Declared non-disabled","Male","11975","[c]","37110","31270"
"Leaver CS","2023","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Female","1070","[c]","32530","28120"
"Leaver CS","2023","Undeclared","Male","1320","[c]","38010","32630"
"Leaver CS","2023","Unknown","Female","6115","[c]","33750","28360"
"Leaver CS","2023","Unknown","Male","6245","[c]","35900","30500"
"Leaver Dept.","2023","Declared disabled","Female","905","[c]","35030","31610"
"Leaver Dept.","2023","Declared disabled","Male","565","[c]","36880","32000"
"Leaver Dept.","2023","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Female","5065","[c]","36760","32520"
"Leaver Dept.","2023","Declared non-disabled","Male","3780","[c]","38980","33990"
"Leaver Dept.","2023","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Female","355","[c]","35470","31990"
"Leaver Dept.","2023","Undeclared","Male","340","[c]","39450","35620"
"Leaver Dept.","2023","Unknown","Female","2395","[c]","37080","32640"
"Leaver Dept.","2023","Unknown","Male","1960","[c]","38420","33370"
"New entrant CS","2023","Declared disabled","Female","2225","[c]","28580","25750"
"New entrant CS","2023","Declared disabled","Male","1570","[c]","29800","26620"
"New entrant CS","2023","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Female","12990","[c]","29800","25920"
"New entrant CS","2023","Declared non-disabled","Male","10280","[c]","32050","28880"
"New entrant CS","2023","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Female","615","[c]","28340","25480"
"New entrant CS","2023","Undeclared","Male","565","[c]","31600","28120"
"New entrant CS","2023","Unknown","Female","14890","[c]","28720","25750"
"New entrant CS","2023","Unknown","Male","13620","[c]","30200","26780"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
