"Status","Year","Disability","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","London","Female","965","880","37800","32520"
"In post","2023","Declared disabled","Asian","London","Male","590","570","38630","34390"
"In post","2023","Declared disabled","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Outside London","Female","1140","1000","29410","28120"
"In post","2023","Declared disabled","Asian","Outside London","Male","915","865","31260","28120"
"In post","2023","Declared disabled","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","London","Female","1090","1020","35910","32520"
"In post","2023","Declared disabled","Black","London","Male","340","335","37320","33050"
"In post","2023","Declared disabled","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Outside London","Female","545","495","30490","28120"
"In post","2023","Declared disabled","Black","Outside London","Male","250","240","31700","28130"
"In post","2023","Declared disabled","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","London","Female","350","330","40010","35220"
