"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","AA/AO","Heterosexual / straight","45","40","23840","22500"
"In post","2023","Declared disabled","Commercial","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Heterosexual / straight","55","55","28430","27880"
"In post","2023","Declared disabled","Commercial","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Undeclared","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Heterosexual / straight","160","155","64090","63110"
"In post","2023","Declared disabled","Commercial","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Unknown","50","50","64880","65500"
"In post","2023","Declared disabled","Commercial","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Heterosexual / straight","330","315","39320","38470"
"In post","2023","Declared disabled","Commercial","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Undeclared","40","40","40320","41290"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Unknown","40","40","33800","32500"
"In post","2023","Declared disabled","Commercial","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Heterosexual / straight","40","40","28840","28300"
"In post","2023","Declared disabled","Communications","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","Heterosexual / straight","55","55","59030","57860"
"In post","2023","Declared disabled","Communications","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO/HEO","Heterosexual / straight","125","120","39210","38470"
"In post","2023","Declared disabled","Communications","SEO/HEO","LGBO","30","30","39460","40260"
"In post","2023","Declared disabled","Communications","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Heterosexual / straight","205","175","23090","21690"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","LGBO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Undeclared","45","40","22880","21690"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","EO","Heterosexual / straight","560","505","29000","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","LGBO","65","60","28940","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Undeclared","80","70","28590","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Unknown","45","40","29600","28120"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Heterosexual / straight","235","220","36710","34450"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","LGBO","35","35","36180","35000"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","Heterosexual / straight","45","45","22820","22150"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Heterosexual / straight","310","290","28600","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","LGBO","30","30","28470","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Undeclared","40","40","28630","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","Heterosexual / straight","455","445","59080","57460"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","LGBO","75","75","58240","56430"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","Undeclared","70","70","59280","59030"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","770","740","38380","38080"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","LGBO","140","140","37370","37310"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","Undeclared","120","115","38280","37880"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","Unknown","75","75","35990","34460"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","Heterosexual / straight","40","40","62100","59370"
"In post","2023","Declared disabled","Economics","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO/HEO","Heterosexual / straight","40","35","38170","36440"
"In post","2023","Declared disabled","Economics","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
