"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","Heterosexual / straight","180","165","23220","22870"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Heterosexual / straight","185","170","28760","28850"
"In post","2023","Declared disabled","Attorney General's Departments","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","Heterosexual / straight","390","360","60110","57590"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","LGBO","45","45","59330","56000"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","Undeclared","35","30","61420","58450"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","Unknown","50","40","60640","59810"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","Heterosexual / straight","140","135","36870","36530"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","Heterosexual / straight","70","60","22470","21720"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Heterosexual / straight","95","90","27330","27430"
"In post","2023","Declared disabled","Cabinet Office","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","Heterosexual / straight","285","280","61360","58070"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","LGBO","60","60","58800","56430"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","Undeclared","35","35","61790","58490"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","Unknown","50","50","65520","65500"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Heterosexual / straight","55","55","96810","81810"
"In post","2023","Declared disabled","Cabinet Office","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","Heterosexual / straight","325","315","36570","35650"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","LGBO","75","75","36220","35650"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","Undeclared","40","40","37160","38050"
