"Status","Year","Age","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","30","30","23100","22520"
"In post","2023","16-19","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","25","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","35","35","22470","22520"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","40","40","21100","20980"
"In post","2023","16-19","Declared non-disabled","No function","410","400","24130","23230"
"In post","2023","16-19","Declared non-disabled","Project Delivery","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","35","35","22990","22320"
"In post","2023","16-19","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","35","35","24990","24840"
"In post","2023","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","25","20","[c]","[c]"
"In post","2023","16-19","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","No function","475","450","23170","22430"
"In post","2023","16-19","Unknown","Project Delivery","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Property","30","30","22900","22520"
"In post","2023","16-19","Unknown","Security","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","75","70","21290","22180"
"In post","2023","20-29","Declared disabled","Analysis","295","290","36390","35000"
"In post","2023","20-29","Declared disabled","Commercial","105","105","36280","31270"
"In post","2023","20-29","Declared disabled","Communications","50","50","34320","33830"
"In post","2023","20-29","Declared disabled","Counter Fraud","155","155","30440","28120"
"In post","2023","20-29","Declared disabled","Debt","100","100","22940","22520"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","310","310","34430","32980"
"In post","2023","20-29","Declared disabled","Finance","105","105","31690","28840"
"In post","2023","20-29","Declared disabled","Grants Management","55","55","23320","22150"
"In post","2023","20-29","Declared disabled","Human Resources","180","180","33940","31130"
"In post","2023","20-29","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Legal","145","145","31040","27760"
"In post","2023","20-29","Declared disabled","No function","4025","3945","30090","28120"
"In post","2023","20-29","Declared disabled","Project Delivery","330","330","33610","32500"
"In post","2023","20-29","Declared disabled","Property","70","65","32240","28840"
"In post","2023","20-29","Declared disabled","Security","85","85","32500","30700"
"In post","2023","20-29","Declared disabled","Unknown","535","530","31830","30130"
"In post","2023","20-29","Declared non-disabled","Analysis","1990","1980","38740","36690"
"In post","2023","20-29","Declared non-disabled","Commercial","645","645","37150","34380"
"In post","2023","20-29","Declared non-disabled","Communications","405","400","36230","34700"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","1325","1315","30460","28120"
"In post","2023","20-29","Declared non-disabled","Debt","985","955","23470","22520"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","2120","2105","35630","34170"
"In post","2023","20-29","Declared non-disabled","Finance","945","940","33940","32500"
"In post","2023","20-29","Declared non-disabled","Grants Management","235","235","24230","22150"
"In post","2023","20-29","Declared non-disabled","Human Resources","925","915","33670","31270"
"In post","2023","20-29","Declared non-disabled","Internal Audit","25","25","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Legal","1215","1200","33640","28200"
"In post","2023","20-29","Declared non-disabled","No function","29975","29475","30440","28480"
"In post","2023","20-29","Declared non-disabled","Project Delivery","1720","1710","35600","33940"
"In post","2023","20-29","Declared non-disabled","Property","565","560","30800","29400"
"In post","2023","20-29","Declared non-disabled","Security","580","580","30530","28560"
"In post","2023","20-29","Declared non-disabled","Unknown","2350","2330","32390","30610"
"In post","2023","20-29","Undeclared","Analysis","125","120","37270","35650"
"In post","2023","20-29","Undeclared","Commercial","40","40","39490","36040"
"In post","2023","20-29","Undeclared","Communications","35","35","36300","35650"
"In post","2023","20-29","Undeclared","Counter Fraud","65","65","30790","28120"
"In post","2023","20-29","Undeclared","Debt","45","40","22660","22520"
"In post","2023","20-29","Undeclared","Digital, Data & Technology","120","115","36360","34700"
"In post","2023","20-29","Undeclared","Finance","55","50","34750","32520"
"In post","2023","20-29","Undeclared","Grants Management","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Human Resources","55","55","33020","29970"
"In post","2023","20-29","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Legal","40","40","32560","27400"
"In post","2023","20-29","Undeclared","No function","1575","1550","31780","29590"
"In post","2023","20-29","Undeclared","Project Delivery","70","70","35540","32940"
"In post","2023","20-29","Undeclared","Property","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Security","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","70","70","32130","31700"
"In post","2023","20-29","Unknown","Analysis","1290","1285","36210","34560"
"In post","2023","20-29","Unknown","Commercial","415","415","32590","30360"
"In post","2023","20-29","Unknown","Communications","365","365","36980","35650"
"In post","2023","20-29","Unknown","Counter Fraud","455","450","31370","28130"
"In post","2023","20-29","Unknown","Debt","590","570","23540","22520"
"In post","2023","20-29","Unknown","Digital, Data & Technology","1460","1450","35000","34000"
"In post","2023","20-29","Unknown","Finance","615","605","32530","30130"
"In post","2023","20-29","Unknown","Grants Management","110","105","25420","22150"
"In post","2023","20-29","Unknown","Human Resources","510","505","31470","28660"
"In post","2023","20-29","Unknown","Internal Audit","20","20","[c]","[c]"
"In post","2023","20-29","Unknown","Legal","580","575","31110","27890"
"In post","2023","20-29","Unknown","No function","18625","18330","29990","27890"
"In post","2023","20-29","Unknown","Project Delivery","1210","1205","34660","32960"
"In post","2023","20-29","Unknown","Property","450","445","28770","27080"
"In post","2023","20-29","Unknown","Security","620","620","29710","27500"
"In post","2023","20-29","Unknown","Unknown","2895","2865","30760","29530"
"In post","2023","30-39","Declared disabled","Analysis","295","280","43260","39890"
"In post","2023","30-39","Declared disabled","Commercial","170","165","44570","40750"
"In post","2023","30-39","Declared disabled","Communications","80","75","42180","39620"
"In post","2023","30-39","Declared disabled","Counter Fraud","315","300","33640","32260"
"In post","2023","30-39","Declared disabled","Debt","125","115","24480","22520"
"In post","2023","30-39","Declared disabled","Digital, Data & Technology","525","515","40440","37590"
"In post","2023","30-39","Declared disabled","Finance","195","185","41310","37590"
"In post","2023","30-39","Declared disabled","Grants Management","70","65","26510","22150"
"In post","2023","30-39","Declared disabled","Human Resources","355","345","38160","34700"
"In post","2023","30-39","Declared disabled","Internal Audit","10","10","[c]","[c]"
"In post","2023","30-39","Declared disabled","Legal","225","215","46280","49800"
"In post","2023","30-39","Declared disabled","No function","6685","6315","32790","28880"
"In post","2023","30-39","Declared disabled","Project Delivery","430","420","43590","41190"
"In post","2023","30-39","Declared disabled","Property","105","100","34700","33990"
"In post","2023","30-39","Declared disabled","Security","130","130","36420","34390"
"In post","2023","30-39","Declared disabled","Unknown","645","620","39050","36590"
"In post","2023","30-39","Declared non-disabled","Analysis","1790","1730","48900","47690"
"In post","2023","30-39","Declared non-disabled","Commercial","1120","1085","45540","42150"
"In post","2023","30-39","Declared non-disabled","Communications","740","715","46470","43650"
"In post","2023","30-39","Declared non-disabled","Counter Fraud","2335","2250","34360","32540"
"In post","2023","30-39","Declared non-disabled","Debt","970","880","24500","22520"
"In post","2023","30-39","Declared non-disabled","Digital, Data & Technology","3910","3825","43150","40420"
"In post","2023","30-39","Declared non-disabled","Finance","1705","1640","42420","39100"
"In post","2023","30-39","Declared non-disabled","Grants Management","270","250","26330","22150"
"In post","2023","30-39","Declared non-disabled","Human Resources","1865","1790","39410","35650"
"In post","2023","30-39","Declared non-disabled","Internal Audit","80","75","44450","43160"
"In post","2023","30-39","Declared non-disabled","Legal","2145","2040","49660","52300"
"In post","2023","30-39","Declared non-disabled","No function","45910","43475","34620","31310"
"In post","2023","30-39","Declared non-disabled","Project Delivery","3255","3165","44940","41800"
"In post","2023","30-39","Declared non-disabled","Property","890","860","37950","34440"
"In post","2023","30-39","Declared non-disabled","Security","1035","1020","35600","33830"
"In post","2023","30-39","Declared non-disabled","Unknown","3985","3830","41160","39150"
"In post","2023","30-39","Undeclared","Analysis","110","105","51340","54130"
"In post","2023","30-39","Undeclared","Commercial","85","85","47760","43210"
"In post","2023","30-39","Undeclared","Communications","50","50","45300","41240"
"In post","2023","30-39","Undeclared","Counter Fraud","170","165","34410","31370"
"In post","2023","30-39","Undeclared","Debt","70","65","24220","22520"
"In post","2023","30-39","Undeclared","Digital, Data & Technology","325","320","44150","41480"
"In post","2023","30-39","Undeclared","Finance","100","100","44150","41310"
"In post","2023","30-39","Undeclared","Grants Management","20","20","[c]","[c]"
"In post","2023","30-39","Undeclared","Human Resources","130","130","39910","38420"
"In post","2023","30-39","Undeclared","Internal Audit","5","5","[c]","[c]"
"In post","2023","30-39","Undeclared","Legal","75","75","50810","54100"
"In post","2023","30-39","Undeclared","No function","3555","3380","35220","32060"
"In post","2023","30-39","Undeclared","Project Delivery","195","190","44860","42140"
"In post","2023","30-39","Undeclared","Property","50","45","35110","32970"
"In post","2023","30-39","Undeclared","Security","70","70","37480","40540"
"In post","2023","30-39","Undeclared","Unknown","125","115","42430","39690"
"In post","2023","30-39","Unknown","Analysis","680","660","44370","40510"
"In post","2023","30-39","Unknown","Commercial","395","385","41830","39090"
"In post","2023","30-39","Unknown","Communications","355","345","45970","43650"
"In post","2023","30-39","Unknown","Counter Fraud","715","695","33460","32540"
"In post","2023","30-39","Unknown","Debt","425","395","23800","22520"
"In post","2023","30-39","Unknown","Digital, Data & Technology","1645","1620","43380","40260"
"In post","2023","30-39","Unknown","Finance","635","615","41670","38530"
"In post","2023","30-39","Unknown","Grants Management","135","125","26510","22150"
"In post","2023","30-39","Unknown","Human Resources","655","630","38230","34700"
"In post","2023","30-39","Unknown","Internal Audit","35","35","46020","42810"
"In post","2023","30-39","Unknown","Legal","700","675","46500","49050"
"In post","2023","30-39","Unknown","No function","17275","16540","34230","29890"
"In post","2023","30-39","Unknown","Project Delivery","1320","1285","44820","42140"
"In post","2023","30-39","Unknown","Property","385","375","33360","32260"
"In post","2023","30-39","Unknown","Security","675","670","35160","33140"
"In post","2023","30-39","Unknown","Unknown","2805","2715","39210","36330"
"In post","2023","40-49","Declared disabled","Analysis","220","205","47800","45650"
"In post","2023","40-49","Declared disabled","Commercial","205","195","51130","43300"
"In post","2023","40-49","Declared disabled","Communications","95","90","44040","42140"
"In post","2023","40-49","Declared disabled","Counter Fraud","465","430","32960","29730"
"In post","2023","40-49","Declared disabled","Debt","210","180","24330","22520"
"In post","2023","40-49","Declared disabled","Digital, Data & Technology","645","625","44020","39790"
"In post","2023","40-49","Declared disabled","Finance","300","290","41130","37710"
"In post","2023","40-49","Declared disabled","Grants Management","110","100","25940","22150"
"In post","2023","40-49","Declared disabled","Human Resources","480","460","41110","37560"
"In post","2023","40-49","Declared disabled","Internal Audit","25","25","[c]","[c]"
"In post","2023","40-49","Declared disabled","Legal","335","310","46600","49050"
"In post","2023","40-49","Declared disabled","No function","9030","8310","32670","28120"
"In post","2023","40-49","Declared disabled","Project Delivery","565","545","45380","41780"
"In post","2023","40-49","Declared disabled","Property","175","170","40960","37300"
"In post","2023","40-49","Declared disabled","Security","180","175","37940","37730"
"In post","2023","40-49","Declared disabled","Unknown","625","590","45020","39890"
"In post","2023","40-49","Declared non-disabled","Analysis","1380","1290","53140","51770"
"In post","2023","40-49","Declared non-disabled","Commercial","1255","1215","53160","47780"
"In post","2023","40-49","Declared non-disabled","Communications","665","620","49850","45800"
"In post","2023","40-49","Declared non-disabled","Counter Fraud","2515","2385","35500","34170"
"In post","2023","40-49","Declared non-disabled","Debt","880","780","25300","22520"
"In post","2023","40-49","Declared non-disabled","Digital, Data & Technology","4685","4570","46960","43010"
"In post","2023","40-49","Declared non-disabled","Finance","2275","2170","44540","40370"
"In post","2023","40-49","Declared non-disabled","Grants Management","440","400","27060","25920"
"In post","2023","40-49","Declared non-disabled","Human Resources","2250","2150","42300","38210"
"In post","2023","40-49","Declared non-disabled","Internal Audit","125","120","49940","48360"
"In post","2023","40-49","Declared non-disabled","Legal","2450","2245","53430","55170"
"In post","2023","40-49","Declared non-disabled","No function","47625","44365","35750","30940"
"In post","2023","40-49","Declared non-disabled","Project Delivery","3660","3530","49600","45150"
"In post","2023","40-49","Declared non-disabled","Property","1280","1235","40540","38340"
"In post","2023","40-49","Declared non-disabled","Security","1245","1225","37870","36180"
"In post","2023","40-49","Declared non-disabled","Unknown","4630","4425","47730","44890"
"In post","2023","40-49","Undeclared","Analysis","75","75","50130","51060"
"In post","2023","40-49","Undeclared","Commercial","105","105","53800","54510"
"In post","2023","40-49","Undeclared","Communications","60","55","48240","42500"
"In post","2023","40-49","Undeclared","Counter Fraud","230","220","36680","34700"
"In post","2023","40-49","Undeclared","Debt","80","75","25150","22520"
"In post","2023","40-49","Undeclared","Digital, Data & Technology","365","360","45510","42510"
"In post","2023","40-49","Undeclared","Finance","175","170","44660","41250"
"In post","2023","40-49","Undeclared","Grants Management","55","50","26490","22150"
"In post","2023","40-49","Undeclared","Human Resources","190","185","40070","37720"
"In post","2023","40-49","Undeclared","Internal Audit","15","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Legal","95","90","57720","61780"
"In post","2023","40-49","Undeclared","No function","4645","4380","36670","32920"
"In post","2023","40-49","Undeclared","Project Delivery","260","250","48960","43760"
"In post","2023","40-49","Undeclared","Property","125","115","39590","37970"
"In post","2023","40-49","Undeclared","Security","135","135","37250","40880"
"In post","2023","40-49","Undeclared","Unknown","145","135","45000","41640"
"In post","2023","40-49","Unknown","Analysis","360","340","47650","46470"
"In post","2023","40-49","Unknown","Commercial","335","325","48810","41590"
"In post","2023","40-49","Unknown","Communications","230","220","50440","46110"
"In post","2023","40-49","Unknown","Counter Fraud","555","530","35350","34700"
"In post","2023","40-49","Unknown","Debt","285","260","24160","22520"
