"Status","Year","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","AA","665","590","22660","23000"
"In post","2023","Asian","AO","8275","7340","23790","22520"
"In post","2023","Asian","EO","10400","9695","29350","28130"
"In post","2023","Asian","G6","965","935","70920","69210"
"In post","2023","Asian","G7","3385","3300","57310","56180"
"In post","2023","Asian","HEO","6285","6100","35490","35000"
"In post","2023","Asian","SCS level","345","335","93620","86460"
"In post","2023","Asian","SEO","4005","3920","43190","42560"
"In post","2023","Asian","Unknown","1030","960","30070","27640"
"In post","2023","Black","AA","525","495","24000","23500"
"In post","2023","Black","AO","3760","3485","26160","25480"
"In post","2023","Black","EO","5140","4890","30400","30260"
"In post","2023","Black","G6","275","270","70910","69490"
"In post","2023","Black","G7","1370","1355","57480","56040"
"In post","2023","Black","HEO","2875","2830","36050","35410"
"In post","2023","Black","SCS level","110","110","97010","85950"
"In post","2023","Black","SEO","1900","1880","43640","43210"
"In post","2023","Black","Unknown","1330","1275","32120","29300"
"In post","2023","Mixed","AA","200","185","22590","23230"
"In post","2023","Mixed","AO","1875","1720","25240","22520"
"In post","2023","Mixed","EO","2250","2120","29350","28120"
"In post","2023","Mixed","G6","420","405","70410","68080"
"In post","2023","Mixed","G7","1215","1170","56620","55720"
"In post","2023","Mixed","HEO","1765","1720","35090","34700"
"In post","2023","Mixed","SCS level","160","155","88120","81600"
"In post","2023","Mixed","SEO","1145","1125","43020","42140"
"In post","2023","Mixed","Unknown","695","660","31120","29050"
"In post","2023","Other ethnicity","AA","55","50","23360","23230"
"In post","2023","Other ethnicity","AO","495","460","25510","24490"
"In post","2023","Other ethnicity","EO","685","645","29750","29150"
"In post","2023","Other ethnicity","G6","150","145","70860","68580"
"In post","2023","Other ethnicity","G7","395","385","56330","55350"
"In post","2023","Other ethnicity","HEO","500","480","35690","35000"
"In post","2023","Other ethnicity","SCS level","55","55","93210","86000"
"In post","2023","Other ethnicity","SEO","365","360","43660","42480"
"In post","2023","Other ethnicity","Unknown","125","115","31260","29050"
"In post","2023","Undeclared","AA","375","340","21730","21380"
"In post","2023","Undeclared","AO","3885","3485","24290","22500"
"In post","2023","Undeclared","EO","5155","4705","29550","28120"
"In post","2023","Undeclared","G6","860","825","71770","70840"
"In post","2023","Undeclared","G7","2240","2180","57300","56730"
"In post","2023","Undeclared","HEO","3320","3165","35630","34970"
"In post","2023","Undeclared","SCS level","190","185","92960","84280"
"In post","2023","Undeclared","SEO","2610","2510","43580","42510"
"In post","2023","Undeclared","Unknown","625","580","35310","33340"
"In post","2023","Unknown","AA","4035","3710","22620","22520"
"In post","2023","Unknown","AO","21630","20195","24650","22520"
"In post","2023","Unknown","EO","18415","17600","29010","28120"
"In post","2023","Unknown","G6","2290","2200","70730","69080"
"In post","2023","Unknown","G7","6385","6210","56890","56000"
"In post","2023","Unknown","HEO","10965","10655","35490","34850"
