"Status","Year","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Female","350","320","38230","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","Male","170","165","40180","38760"
"In post","2023","Attorney General's Departments","East of England","Female","405","360","40180","32660"
"In post","2023","Attorney General's Departments","East of England","Male","155","150","47820","54100"
"In post","2023","Attorney General's Departments","London","Female","3115","2880","50580","52790"
"In post","2023","Attorney General's Departments","London","Male","1715","1680","52030","52790"
"In post","2023","Attorney General's Departments","North East (England)","Female","265","235","36800","28850"
"In post","2023","Attorney General's Departments","North East (England)","Male","135","125","44710","49050"
"In post","2023","Attorney General's Departments","North West (England)","Female","725","665","38400","31180"
"In post","2023","Attorney General's Departments","North West (England)","Male","365","355","43870","49050"
"In post","2023","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Female","525","485","41690","33720"
"In post","2023","Attorney General's Departments","South East (England)","Male","265","260","45040","40800"
"In post","2023","Attorney General's Departments","South West (England)","Female","265","240","42110","44120"
"In post","2023","Attorney General's Departments","South West (England)","Male","160","155","45840","50460"
"In post","2023","Attorney General's Departments","Wales","Female","300","275","38980","33810"
"In post","2023","Attorney General's Departments","Wales","Male","135","130","46550","49050"
"In post","2023","Attorney General's Departments","West Midlands (England)","Female","455","420","39550","33300"
"In post","2023","Attorney General's Departments","West Midlands (England)","Male","185","180","45200","49050"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Female","710","645","40580","38760"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Male","340","330","45620","49050"
"In post","2023","Cabinet Office","East Midlands (England)","Female","45","40","47840","40450"
"In post","2023","Cabinet Office","East Midlands (England)","Male","40","40","52540","54130"
"In post","2023","Cabinet Office","East of England","Female","125","110","46440","40620"
"In post","2023","Cabinet Office","East of England","Male","125","125","48940","40620"
"In post","2023","Cabinet Office","London","Female","2965","2895","49210","41870"
"In post","2023","Cabinet Office","London","Male","2620","2600","54850","56200"
"In post","2023","Cabinet Office","North East (England)","Female","255","235","31320","26420"
"In post","2023","Cabinet Office","North East (England)","Male","160","155","34630","32640"
"In post","2023","Cabinet Office","North West (England)","Female","580","565","44860","40450"
"In post","2023","Cabinet Office","North West (England)","Male","480","475","47870","40750"
"In post","2023","Cabinet Office","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Scotland","Female","265","260","39920","33020"
"In post","2023","Cabinet Office","Scotland","Male","230","230","42460","33020"
"In post","2023","Cabinet Office","South East (England)","Female","120","115","43850","35650"
"In post","2023","Cabinet Office","South East (England)","Male","110","105","55090","41640"
"In post","2023","Cabinet Office","South West (England)","Female","165","160","53450","51290"
"In post","2023","Cabinet Office","South West (England)","Male","185","180","58360","56000"
"In post","2023","Cabinet Office","Unknown","Female","85","85","47110","38460"
"In post","2023","Cabinet Office","Unknown","Male","90","85","38950","33020"
"In post","2023","Cabinet Office","Wales","Female","125","120","38570","33400"
"In post","2023","Cabinet Office","Wales","Male","105","105","43740","39860"
"In post","2023","Cabinet Office","West Midlands (England)","Female","160","160","50300","40450"
"In post","2023","Cabinet Office","West Midlands (England)","Male","160","160","59480","54410"
"In post","2023","Cabinet Office","Yorkshire and The Humber","Female","560","530","40830","34320"
"In post","2023","Cabinet Office","Yorkshire and The Humber","Male","465","455","43030","35680"
"In post","2023","Chancellor's other departments","London","Female","150","140","58000","50010"
"In post","2023","Chancellor's other departments","London","Male","200","195","65970","58170"
"In post","2023","Chancellor's other departments","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","North East (England)","Male","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","North West (England)","Female","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","North West (England)","Male","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Scotland","Female","15","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Scotland","Male","15","15","[c]","[c]"
"In post","2023","Charity Commission","London","Female","50","45","47360","42880"
"In post","2023","Charity Commission","London","Male","35","30","43320","38800"
"In post","2023","Charity Commission","North West (England)","Female","230","215","33770","30170"
"In post","2023","Charity Commission","North West (England)","Male","150","150","33910","30170"
"In post","2023","Charity Commission","South West (England)","Female","20","15","[c]","[c]"
"In post","2023","Charity Commission","South West (England)","Male","15","15","[c]","[c]"
"In post","2023","Charity Commission","Wales","Female","5","5","[c]","[c]"
"In post","2023","Charity Commission","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","London","Female","395","375","60630","57540"
"In post","2023","Competition and Markets Authority","London","Male","400","390","65120","60850"
"In post","2023","Competition and Markets Authority","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","North West (England)","Female","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","North West (England)","Male","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Scotland","Female","35","35","60670","57540"
"In post","2023","Competition and Markets Authority","Scotland","Male","35","35","57440","55130"
"In post","2023","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Wales","Male","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","135","125","32640","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","100","95","35110","33910"
"In post","2023","Department for Business, Energy and Industrial Strategy","East of England","Female","85","80","34060","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","East of England","Male","55","55","35230","34150"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Female","2880","2775","49950","50080"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Male","2855","2825","52320","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy","North East (England)","Female","170","155","34040","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","North East (England)","Male","130","125","38400","34870"
"In post","2023","Department for Business, Energy and Industrial Strategy","North West (England)","Female","460","440","38160","35190"
"In post","2023","Department for Business, Energy and Industrial Strategy","North West (England)","Male","375","365","40170","37470"
"In post","2023","Department for Business, Energy and Industrial Strategy","Northern Ireland","Female","15","15","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Northern Ireland","Male","30","30","30960","31380"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Female","15","15","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Scotland","Female","220","205","37000","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","Scotland","Male","265","255","38990","35230"
"In post","2023","Department for Business, Energy and Industrial Strategy","South East (England)","Female","140","130","35470","35400"
"In post","2023","Department for Business, Energy and Industrial Strategy","South East (England)","Male","100","95","37850","35190"
"In post","2023","Department for Business, Energy and Industrial Strategy","South West (England)","Female","930","865","38240","37420"
"In post","2023","Department for Business, Energy and Industrial Strategy","South West (England)","Male","1290","1255","40990","39750"
"In post","2023","Department for Business, Energy and Industrial Strategy","Wales","Female","1610","1460","34050","29070"
"In post","2023","Department for Business, Energy and Industrial Strategy","Wales","Male","1485","1445","40590","38360"
"In post","2023","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Female","470","445","36080","32200"
"In post","2023","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Male","380","370","37910","35220"
"In post","2023","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Female","105","95","35670","34450"
