"Status","Year","Age","Disability","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Outside London","Heterosexual / straight","35","35","21690","21690"
"In post","2023","16-19","Declared disabled","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","Heterosexual / straight","45","45","26410","25610"
"In post","2023","16-19","Declared non-disabled","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Outside London","Heterosexual / straight","490","480","23470","22520"
"In post","2023","16-19","Declared non-disabled","Outside London","LGBO","55","55","23820","22520"
"In post","2023","16-19","Declared non-disabled","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Unknown","45","45","27960","26760"
"In post","2023","16-19","Unknown","Outside London","Heterosexual / straight","105","105","22090","22400"
"In post","2023","16-19","Unknown","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","Unknown","515","490","22750","22400"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","35","35","20430","17650"
