"Status","Year","Age","Disability","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
