"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","245","230","37660","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","55","50","43410","49050"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","140","125","38680","36880"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","150","135","43840","40800"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Unknown","35","30","50900","62640"
"In post","2023","Attorney General's Departments","East of England","East Anglia","Heterosexual / straight","110","100","36650","28850"
"In post","2023","Attorney General's Departments","East of England","East Anglia","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","East Anglia","Undeclared","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","East Anglia","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex","Heterosexual / straight","175","160","42530","40130"
"In post","2023","Attorney General's Departments","East of England","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex","Unknown","30","30","45810","38790"
"In post","2023","Attorney General's Departments","London","Inner London - East","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - West","Heterosexual / straight","3290","3120","50230","52020"
"In post","2023","Attorney General's Departments","London","Inner London - West","LGBO","265","255","51950","52020"
"In post","2023","Attorney General's Departments","London","Inner London - West","Undeclared","280","270","52710","54140"
"In post","2023","Attorney General's Departments","London","Inner London - West","Unknown","875","800","55110","58530"
