"Status","Year","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Heterosexual / straight","45370","41605","33960","29400"
"In post","2023","Declared disabled","LGBO","5720","5505","34720","30940"
"In post","2023","Declared disabled","Undeclared","5865","5315","33210","28550"
"In post","2023","Declared disabled","Unknown","3835","3435","33300","28840"
"In post","2023","Declared non-disabled","Heterosexual / straight","263900","248170","36900","32500"
"In post","2023","Declared non-disabled","LGBO","14765","14385","37260","32540"
"In post","2023","Declared non-disabled","Undeclared","21590","19850","35830","31410"
"In post","2023","Declared non-disabled","Unknown","23935","21120","34130","28130"
"In post","2023","Undeclared","Heterosexual / straight","12645","11810","35720","32160"
"In post","2023","Undeclared","LGBO","1185","1150","35350","32110"
"In post","2023","Undeclared","Undeclared","10275","9645","37540","34170"
"In post","2023","Undeclared","Unknown","3810","3460","38660","32950"
"In post","2023","Unknown","Heterosexual / straight","27275","26150","38750","34850"
"In post","2023","Unknown","LGBO","2095","2060","37470","34000"
"In post","2023","Unknown","Undeclared","3740","3595","41950","38120"
"In post","2023","Unknown","Unknown","73765","70405","34090","29300"
"Leaver CS","2023","Declared disabled","Heterosexual / straight","3380","[c]","32020","28120"
"Leaver CS","2023","Declared disabled","LGBO","520","[c]","32600","28120"
"Leaver CS","2023","Declared disabled","Undeclared","445","[c]","31830","28120"
"Leaver CS","2023","Declared disabled","Unknown","695","[c]","31870","28120"
"Leaver CS","2023","Declared non-disabled","Heterosexual / straight","19015","[c]","35130","29290"
"Leaver CS","2023","Declared non-disabled","LGBO","1360","[c]","35750","30460"
"Leaver CS","2023","Declared non-disabled","Undeclared","1705","[c]","34120","28730"
"Leaver CS","2023","Declared non-disabled","Unknown","4210","[c]","32270","27570"
"Leaver CS","2023","Undeclared","Heterosexual / straight","1060","[c]","34080","28490"
"Leaver CS","2023","Undeclared","LGBO","115","[c]","34150","29600"
"Leaver CS","2023","Undeclared","Undeclared","735","[c]","36660","31270"
"Leaver CS","2023","Undeclared","Unknown","485","[c]","39210","32720"
"Leaver CS","2023","Unknown","Heterosexual / straight","2270","[c]","36500","32770"
"Leaver CS","2023","Unknown","LGBO","215","[c]","35760","31060"
"Leaver CS","2023","Unknown","Undeclared","470","[c]","38520","37060"
"Leaver CS","2023","Unknown","Unknown","9400","[c]","34270","28490"
"Leaver Dept.","2023","Declared disabled","Heterosexual / straight","1005","[c]","36100","31660"
"Leaver Dept.","2023","Declared disabled","LGBO","205","[c]","34060","31060"
"Leaver Dept.","2023","Declared disabled","Undeclared","120","[c]","35300","33040"
"Leaver Dept.","2023","Declared disabled","Unknown","145","[c]","35500","31990"
"Leaver Dept.","2023","Declared non-disabled","Heterosexual / straight","6680","[c]","37830","33020"
"Leaver Dept.","2023","Declared non-disabled","LGBO","590","[c]","38200","33920"
"Leaver Dept.","2023","Declared non-disabled","Undeclared","480","[c]","37890","34020"
"Leaver Dept.","2023","Declared non-disabled","Unknown","1095","[c]","34420","28230"
"Leaver Dept.","2023","Undeclared","Heterosexual / straight","330","[c]","35800","32380"
"Leaver Dept.","2023","Undeclared","LGBO","50","[c]","38510","32670"
"Leaver Dept.","2023","Undeclared","Undeclared","225","[c]","39880","35410"
"Leaver Dept.","2023","Undeclared","Unknown","90","[c]","34820","32670"
"Leaver Dept.","2023","Unknown","Heterosexual / straight","930","[c]","37710","33970"
"Leaver Dept.","2023","Unknown","LGBO","100","[c]","35400","34030"
"Leaver Dept.","2023","Unknown","Undeclared","260","[c]","41420","37500"
"Leaver Dept.","2023","Unknown","Unknown","3060","[c]","37630","32960"
"New entrant CS","2023","Declared disabled","Heterosexual / straight","2510","[c]","29010","25540"
"New entrant CS","2023","Declared disabled","LGBO","725","[c]","28630","25830"
"New entrant CS","2023","Declared disabled","Undeclared","235","[c]","29930","27510"
