"Status","Year","Disability","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Commercial","Heterosexual / straight","40","40","44160","38260"
"In post","2023","Declared disabled","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Heterosexual / straight","85","75","29960","28120"
"In post","2023","Declared disabled","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Heterosexual / straight","100","95","44130","40120"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Heterosexual / straight","65","60","41030","38680"
"In post","2023","Declared disabled","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
