"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G7","Heterosexual / straight","30","30","56920","55720"
"In post","2023","Analysis","Digital, Data and Technology","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","HEO","Heterosexual / straight","35","35","34470","34000"
"In post","2023","Analysis","Digital, Data and Technology","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","AO","Heterosexual / straight","45","45","22620","21200"
"In post","2023","Analysis","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","EO","Heterosexual / straight","115","115","27530","28130"
"In post","2023","Analysis","Economics","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","EO","Unknown","30","30","29030","29340"
"In post","2023","Analysis","Economics","G6","Heterosexual / straight","155","145","71920","70200"
"In post","2023","Analysis","Economics","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","G6","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","G6","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Economics","G7","Heterosexual / straight","385","375","57150","55740"
"In post","2023","Analysis","Economics","G7","LGBO","40","40","56950","55620"
"In post","2023","Analysis","Economics","G7","Undeclared","45","45","58710","56500"
"In post","2023","Analysis","Economics","G7","Unknown","80","75","58230","56340"
"In post","2023","Analysis","Economics","HEO","Heterosexual / straight","355","350","35390","34700"
"In post","2023","Analysis","Economics","HEO","LGBO","45","45","34960","35010"
"In post","2023","Analysis","Economics","HEO","Undeclared","40","40","35870","35000"
"In post","2023","Analysis","Economics","HEO","Unknown","120","120","35160","35010"
"In post","2023","Analysis","Economics","SCS level","Heterosexual / straight","65","60","91370","83400"
"In post","2023","Analysis","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","SEO","Heterosexual / straight","110","110","43360","43650"
"In post","2023","Analysis","Economics","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","SEO","Unknown","40","40","43590","43650"
"In post","2023","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","HEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Analysis","Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","International Trade","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G7","Heterosexual / straight","10","10","[c]","[c]"
