"Status","Year","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Female","Heterosexual / straight","45","35","36030","33520"
"In post","2023","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Female","Unknown","35","30","28540","29100"
"In post","2023","Accountant in Bankruptcy","Male","Heterosexual / straight","30","30","36990","33520"
"In post","2023","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Active Travel England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Active Travel England","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Active Travel England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","430","385","34650","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Female","LGBO","30","30","32640","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Female","Undeclared","55","50","34340","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Female","Unknown","80","75","28970","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","275","255","36800","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Male","Undeclared","50","50","37390","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Male","Unknown","70","65","29900","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Female","Heterosexual / straight","1400","1310","30620","26850"
"In post","2023","Animal and Plant Health Agency","Female","LGBO","95","90","28450","25920"
"In post","2023","Animal and Plant Health Agency","Female","Undeclared","190","175","32580","30320"
"In post","2023","Animal and Plant Health Agency","Female","Unknown","170","155","29310","25340"
"In post","2023","Animal and Plant Health Agency","Male","Heterosexual / straight","845","830","32440","29150"
"In post","2023","Animal and Plant Health Agency","Male","LGBO","100","100","28990","25920"
"In post","2023","Animal and Plant Health Agency","Male","Undeclared","165","155","34770","30510"
"In post","2023","Animal and Plant Health Agency","Male","Unknown","135","130","31860","26850"
"In post","2023","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Male","Unknown","15","15","[c]","[c]"
