"Status","Year","Disability","Parent_department","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Leicester","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Nottingham","40","40","38250","28850"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Heart of Essex","30","25","42920","38790"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Hertfordshire CC","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Norwich and East Norfolk","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Croydon","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Ealing","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Haringey and Islington","[c]","[c]","[c]","[c]"
