"Status","Year","Parent_department","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AO","Female","275","255","24240","24480"
"In post","2023","Attorney General's Departments","London","AO","Male","130","130","24230","24480"
"In post","2023","Attorney General's Departments","London","EO","Female","550","520","29200","28410"
"In post","2023","Attorney General's Departments","London","EO","Male","255","250","29310","28470"
"In post","2023","Attorney General's Departments","London","G6","Female","595","530","69530","67650"
"In post","2023","Attorney General's Departments","London","G6","Male","360","350","71480","69050"
"In post","2023","Attorney General's Departments","London","G7","Female","1100","1015","56860","54100"
"In post","2023","Attorney General's Departments","London","G7","Male","540","530","57760","54420"
"In post","2023","Attorney General's Departments","London","HEO","Female","260","250","35950","34450"
"In post","2023","Attorney General's Departments","London","HEO","Male","175","175","36150","34450"
"In post","2023","Attorney General's Departments","London","SCS level","Female","165","155","88310","81650"
"In post","2023","Attorney General's Departments","London","SCS level","Male","100","100","89680","84760"
"In post","2023","Attorney General's Departments","London","SEO","Female","170","160","41150","40800"
"In post","2023","Attorney General's Departments","London","SEO","Male","145","145","41760","41400"
"In post","2023","Attorney General's Departments","Outside London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","AA","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","AO","Female","915","825","22930","22870"
"In post","2023","Attorney General's Departments","Outside London","AO","Male","315","310","22840","22870"
"In post","2023","Attorney General's Departments","Outside London","EO","Female","905","830","28090","28200"
"In post","2023","Attorney General's Departments","Outside London","EO","Male","285","280","28190","28200"
"In post","2023","Attorney General's Departments","Outside London","G6","Female","125","120","69590","68670"
"In post","2023","Attorney General's Departments","Outside London","G6","Male","115","110","73580","72000"
"In post","2023","Attorney General's Departments","Outside London","G7","Female","1425","1275","55220","54800"
"In post","2023","Attorney General's Departments","Outside London","G7","Male","860","825","56490","56450"
"In post","2023","Attorney General's Departments","Outside London","HEO","Female","315","300","33440","32980"
"In post","2023","Attorney General's Departments","Outside London","HEO","Male","165","165","33180","32660"
"In post","2023","Attorney General's Departments","Outside London","SCS level","Female","40","35","90580","86410"
"In post","2023","Attorney General's Departments","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","SEO","Female","270","260","39800","38940"
"In post","2023","Attorney General's Departments","Outside London","SEO","Male","130","130","39760","38940"
"In post","2023","Attorney General's Departments","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","AO","Female","45","40","25400","25280"
"In post","2023","Cabinet Office","London","AO","Male","55","55","25280","25280"
"In post","2023","Cabinet Office","London","EO","Female","215","205","28920","28370"
"In post","2023","Cabinet Office","London","EO","Male","140","140","28650","28370"
"In post","2023","Cabinet Office","London","G6","Female","325","320","69990","66530"
"In post","2023","Cabinet Office","London","G6","Male","360","360","70490","67020"
"In post","2023","Cabinet Office","London","G7","Female","790","770","58240","56430"
"In post","2023","Cabinet Office","London","G7","Male","800","795","58760","56430"
"In post","2023","Cabinet Office","London","HEO","Female","1030","1025","32220","32790"
"In post","2023","Cabinet Office","London","HEO","Male","690","690","32620","32960"
"In post","2023","Cabinet Office","London","SCS level","Female","240","230","96290","90000"
"In post","2023","Cabinet Office","London","SCS level","Male","285","285","108780","98450"
"In post","2023","Cabinet Office","London","SEO","Female","315","310","42220","41870"
"In post","2023","Cabinet Office","London","SEO","Male","280","280","42220","41870"
"In post","2023","Cabinet Office","Outside London","AO","Female","200","175","21750","21720"
"In post","2023","Cabinet Office","Outside London","AO","Male","140","135","21710","21720"
"In post","2023","Cabinet Office","Outside London","EO","Female","285","265","25840","26030"
"In post","2023","Cabinet Office","Outside London","EO","Male","180","180","25790","25970"
"In post","2023","Cabinet Office","Outside London","G6","Female","210","205","69280","66270"
"In post","2023","Cabinet Office","Outside London","G6","Male","215","210","71930","66610"
"In post","2023","Cabinet Office","Outside London","G7","Female","545","530","56460","55240"
"In post","2023","Cabinet Office","Outside London","G7","Male","555","545","58120","56000"
"In post","2023","Cabinet Office","Outside London","HEO","Female","695","675","32170","32770"
"In post","2023","Cabinet Office","Outside London","HEO","Male","565","560","32440","32960"
"In post","2023","Cabinet Office","Outside London","SCS level","Female","75","75","102090","94570"
