"Status","Year","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Female","705","680","23500","22520"
"In post","2023","16-19","Male","740","720","23110","22520"
"In post","2023","20-29","Female","47705","46760","31060","28880"
"In post","2023","20-29","Male","37425","37180","31540","29080"
"In post","2023","20-29","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Female","62430","57795","36290","32520"
"In post","2023","30-39","Male","53900","53385","37550","34170"
"In post","2023","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Female","66310","60080","37830","32540"
"In post","2023","40-49","Male","52065","51365","40520","35000"
"In post","2023","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Female","77110","70495","35220","29640"
"In post","2023","50-59","Male","64490","62815","39640","34630"
"In post","2023","60-64","Female","22785","18260","31230","28120"
"In post","2023","60-64","Male","20205","17435","36490","32420"
"In post","2023","65+","Female","6640","4915","29500","26810"
"In post","2023","65+","Male","7225","5740","35040","29730"
"In post","2023","Unknown","Female","25","20","[c]","[c]"
"In post","2023","Unknown","Male","15","15","[c]","[c]"
"Leaver CS","2023","16-19","Female","100","[c]","22080","21780"
"Leaver CS","2023","16-19","Male","80","[c]","20450","21300"
"Leaver CS","2023","20-29","Female","6285","[c]","28310","26630"
"Leaver CS","2023","20-29","Male","5155","[c]","29000","27330"
"Leaver CS","2023","30-39","Female","4670","[c]","35440","31190"
"Leaver CS","2023","30-39","Male","4525","[c]","38070","33990"
"Leaver CS","2023","40-49","Female","3605","[c]","37490","30790"
"Leaver CS","2023","40-49","Male","2910","[c]","42360","35410"
"Leaver CS","2023","50-59","Female","4365","[c]","34970","28120"
"Leaver CS","2023","50-59","Male","3795","[c]","39620","32730"
"Leaver CS","2023","60-64","Female","3055","[c]","32940","28120"
"Leaver CS","2023","60-64","Male","2750","[c]","40090","34290"
"Leaver CS","2023","65+","Female","2315","[c]","28970","25610"
"Leaver CS","2023","65+","Male","2310","[c]","33580","28120"
"Leaver CS","2023","Unknown","Female","90","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Male","70","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Female","3030","[c]","32360","31800"
"Leaver Dept.","2023","20-29","Male","2150","[c]","32820","32000"
"Leaver Dept.","2023","30-39","Female","2595","[c]","39000","35220"
"Leaver Dept.","2023","30-39","Male","2205","[c]","39640","35650"
"Leaver Dept.","2023","40-49","Female","1770","[c]","39860","34170"
"Leaver Dept.","2023","40-49","Male","1285","[c]","43390","38200"
"Leaver Dept.","2023","50-59","Female","1130","[c]","37210","31420"
"Leaver Dept.","2023","50-59","Male","850","[c]","44310","36450"
"Leaver Dept.","2023","60-64","Female","125","[c]","33830","28120"
"Leaver Dept.","2023","60-64","Male","115","[c]","36200","28120"
"Leaver Dept.","2023","65+","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Female","40","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Female","610","[c]","23350","22500"
"New entrant CS","2023","16-19","Male","570","[c]","23090","22520"
"New entrant CS","2023","20-29","Female","12855","[c]","26860","25610"
"New entrant CS","2023","20-29","Male","10160","[c]","27530","26310"
"New entrant CS","2023","30-39","Female","7495","[c]","30700","26920"
"New entrant CS","2023","30-39","Male","6395","[c]","32210","28880"
"New entrant CS","2023","40-49","Female","5215","[c]","32350","26920"
"New entrant CS","2023","40-49","Male","4050","[c]","35160","29100"
"New entrant CS","2023","50-59","Female","3700","[c]","30550","25710"
"New entrant CS","2023","50-59","Male","3635","[c]","34460","28120"
"New entrant CS","2023","60-64","Female","635","[c]","28580","22520"
"New entrant CS","2023","60-64","Male","895","[c]","31610","26780"
"New entrant CS","2023","65+","Female","135","[c]","29430","22440"
"New entrant CS","2023","65+","Male","280","[c]","33240","26300"
"New entrant CS","2023","Unknown","Female","80","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Male","45","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
