"Status","Year","Disability","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","100","90","34350","32260"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","50","45","33750","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","Unknown","[c]","[c]","[c]","[c]"
