"Status","Year","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","London","15","15","37970","37510"
"In post","2023","Attorney General's Departments","Commercial","Outside London","25","25","42430","38940"
"In post","2023","Attorney General's Departments","Communications","London","65","65","43150","40540"
"In post","2023","Attorney General's Departments","Communications","Outside London","30","25","38210","39710"
"In post","2023","Attorney General's Departments","Corporate Finance","London","10","10","47560","40360"
"In post","2023","Attorney General's Departments","Counter Fraud","London","235","230","47500","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","100","100","49900","46030"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","100","100","40910","38940"
"In post","2023","Attorney General's Departments","Finance","London","95","90","39790","31640"
"In post","2023","Attorney General's Departments","Finance","Outside London","140","130","29870","27400"
"In post","2023","Attorney General's Departments","Human Resources","London","140","135","43220","37850"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","120","120","37120","32520"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","50","45","45110","39700"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","35","35","39120","38940"
"In post","2023","Attorney General's Departments","Legal","London","2810","2625","60770","62590"
"In post","2023","Attorney General's Departments","Legal","Outside London","2795","2595","54650","55170"
"In post","2023","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","London","1095","1040","30640","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","2475","2300","27350","26900"
"In post","2023","Attorney General's Departments","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","40","40","45650","31640"
"In post","2023","Attorney General's Departments","Other","Outside London","10","10","31970","28530"
"In post","2023","Attorney General's Departments","Policy","London","80","80","56160","56290"
"In post","2023","Attorney General's Departments","Policy","Outside London","65","60","45570","40540"
"In post","2023","Attorney General's Departments","Project Delivery","London","50","45","43960","38490"
